,2021
113110,3.4592971137535233
113210,3.5407028862597887
113310,0.0
115112,1.711876481110853
115114,-3.0574505712501523
115115,5.0
115116,5.0
115210,1.0
115310,-1.6544259098692367
212313,-38.99428659921054
212319,32.99428659921972
212324,-4.105099251747276
212391,-4.396136784532782
212399,-3.9765143475938824
213112,21.47775038411219
221111,-0.074548187430584
221112,-1.5043214671227565
221114,-3.0
221118,1.5788696545653065
221121,401.12797689264994
221122,-384.91356220719103
221210,-13.0
221310,-27.214414685147794
236115,-121.0
236116,1.0
236117,-22.0
236118,-94.0
236210,-11.0
236220,-9.0
237110,17.0
237120,-1.0
237130,-27.0
237210,34.0
237310,119.0
237990,1.0
311111,83.49005558515199
311119,-11.397344101578565
311225,-26.118894736154495
311340,-5.056188450866083
311351,4.056188451040321
311352,-16.0
311411,-20.028127938650996
311412,-178.17688373655542
311421,128.20501167533507
311511,0.8349932394483188
311513,-18.17024437626999
311514,-19.919717181020847
311520,25.254968317899035
311612,-27.038764958992346
311615,36.038764958997795
311710,-46.97381674740059
311811,-46.0
311812,-76.23163683365306
311813,49.23163683368713
311821,143.04693057119096
311824,63.842643439874394
311830,-198.88957401105506
311919,-41.84815572694055
311920,-4.40409478393488
311930,96.25225051100836
311941,95.70097307212791
311942,-96.70097307211199
311991,13.712206154492648
311999,-7.712206154443528
312111,-52.5127556592613
312112,-42.225934879736215
312113,-4.666710753725091
312120,-1.0
312130,9.918520229791957
312140,44.486881062952804
312230,5.0
313110,-10.174352663029396
313210,52.85095070855139
313230,-76.51962875624253
313240,25.80636376417757
313310,-2.568980039182506
313320,4.605646985734534
314120,6.0
314910,-19.6524682636001
314999,14.652468263585405
315210,2.888269393732005
315220,1.0
315240,-4.0
315280,2.111730606274573
315990,0.0
316110,-0.1440232991241146
316210,-16.798189546458772
316998,-0.057787154318203804
321113,-14.094124219158829
321114,31.30647691223049
321211,-90.95743414583228
321213,79.74508145277144
321911,93.25099551032517
321918,-71.56021994271117
321920,-28.0
321991,-36.69077556761578
322110,-12.925660232902679
322130,14.92566023290739
322211,-20.0
322212,102.49641810446465
322219,-128.49641810446644
322230,6.906509243950865
322299,-7.9065092439376095
323111,-24.0
323113,-3.868668099524143
323117,-14.274570771957947
323120,50.14323887149294
324110,29.958008609386347
324121,12.528629784103625
324122,-37.05927285074746
324191,-3.9442501228148394
324199,-5.483115419903749
325130,-25.05210539573606
325180,39.0521053957483
325211,2.0
325411,9.284294536293118
325412,-3.0
325413,5.794198665078769
325414,-2.078493201333969
325510,-38.0
325611,-8.0
325612,21.556403902423654
325613,-22.556403902400522
325620,1.0
325910,-2.0
325991,-8.25597280812664
325992,13.255972808155985
325998,-1.0
326111,-6.698351792943896
326112,-2.5551317613071447
326113,-6.746516445742003
326121,29.906189671772545
326130,-5.476761855089615
326140,-4.288568750027485
326150,-3.140859066635395
326160,-75.0
326191,-25.47785288894139
326199,-37.52214711105444
326212,-5.381431269323336
326220,-29.91981754062293
326299,33.30124880996004
327110,207.43875465326678
327120,-23.86362536171353
327211,-15.130539570476781
327212,-15.683287901261018
327213,-129.0266147479133
327215,8.0
327310,-13.570313162310526
327320,4.0
327331,18.570313162414877
327390,3.0
327420,-24.734687071861146
327910,-5.972471710407749
327991,0.0
327993,27.80773471959077
327999,-12.835263009181588
331110,-3.8258148682972415
331221,10.72765708890743
331315,-3.664849397655038
331420,-2.794457421193295
331491,-1.4425354016812744
331511,-9.684032970220409
331524,5.0
331529,6.684032970245269
332111,30.283574012115324
332119,306.5005814173768
332216,-41.606470047868406
332311,5.0
332312,-23.233918524072003
332321,8.233918524050445
332322,2.0
332323,2.0
332431,-58.76173204058026
332439,15.910906316738286
332510,-252.32685965772583
332618,-1.0
332710,4.0
332811,-17.840858399723764
332812,6.840858399724766
332813,-1.0
332911,-2.0
332913,1.3575679392870819
332919,1.6424320607251337
332994,46.21003927736777
332996,
332999,-40.0
333112,-8.667821822907024
333241,6.345864842591821
333249,-3.345864842569032
333314,19.453119832901557
333316,-3.0
333318,-17.45311983289472
333413,-9.07381670334146
333414,
333415,4.90279503944376
333511,6.064651771318615
333514,-18.86523287592791
333515,11.0
333517,6.808770258197502
333519,2.991810846417197
333611,46.329494927533
333612,
333923,8.607931065700587
333992,-0.6844084230794927
333994,-3.428095987322754
333995,15.122368462478171
333997,-4.836080337706548
333999,-5.781714780043282
334111,10.919529959407544
334118,-31.919529959379133
334210,1.6557334931718861
334220,-6.0
334290,0.34426650684698323
334310,-25.462430771466593
334413,3.0
334418,2.1893221641401963
334419,1.8106778358743116
334510,-17.0
334511,75.25593876770347
334512,-1.5100902007979071
334513,-1.0
334515,0.0
334516,-156.01707023167177
334517,167.13081766842924
334519,-96.85959600362256
334614,20.462430771780056
335121,7.544662853309766
335122,-91.5549486996672
335311,-114.2365583516216
335312,-3.047527997324643
335313,134.8236717890068
335314,-20.539585440043908
335911,-125.44098548673267
335912,-28.87829540142588
335921,75.97273311027675
335931,106.99328071336514
335999,30.36355291108764
336111,-6.638189965351863
336112,5.0
336211,-12.8280506217882
336214,-14.544397648784454
336310,-48.26578426516729
336320,-142.71142435605557
336330,-20.820585627945732
336340,200.3485879881627
336350,-40.98199243138241
336360,
336370,40.17977995039348
336390,60.36738793424562
336411,8.0
336412,-6.487193662826368
336413,-2.5128063371584037
336611,
336999,-23.088821048645418
337110,5.0
337121,-0.3161028025918249
337122,-3.7411033696930467
337124,-3.175524822491269
337125,21.216154360289316
337127,-10.983423365500446
337211,30.288346723083095
337212,9.0
337214,-38.288346723072266
337215,-8.0
337910,25.835226495262326
337920,-27.83522649525895
339112,7.0
339113,-9.694834082637932
339114,-1.5793331976912164
339115,-3.0
339116,14.274167280375243
339910,-8.0
339920,-64.80695380100946
339930,87.36049766956211
339940,-3.5535438685399185
339950,-9.0
339991,-9.31159302301831
339992,-11.002492349359262
339993,
339994,39.31408537239379
339999,-18.0
423110,-24.0
423120,-21.0
423130,-26.713737689381972
423140,27.71373768938613
423210,-15.0
423220,-23.0
423310,-2.0
423320,-16.0
423330,-40.0
423390,-3.0
423410,-27.61678822912316
423420,3.0
423430,-344.0
423440,4.0
423450,-41.0
423460,32.616788229163404
423490,-1.0
423510,-24.29377834014997
423520,-34.706221659117034
423610,-34.0
423620,-12.0
423690,-22.0
423710,28.181298550632334
423720,-77.0
423730,21.0
423740,-22.18129855060058
423810,2.0
423820,2.0
423830,-104.0
423840,51.0
423850,-9.0
423860,7.0
423910,-11.0
423920,1.0
423930,-84.0
423940,-40.0
423990,-5.0
424110,1.0
424120,-3.0
424130,-12.0
424210,-36.0
424310,-4.0
424320,-9.786686816421124
424330,-9.0
424340,-14.213313183512113
424410,-154.0
424420,-4.0
424430,-2.0
424440,-121.59067829713763
424450,33.42458757955819
424460,55.16609071762849
424470,-89.0
424480,-28.0
424490,11.0
424510,0.8492499391756017
424590,-0.8492499391706518
424610,-7.0
424690,2.0
424710,-3.0
424720,-8.0
424810,3.0
424820,10.0
424910,11.0
424920,6.0
424930,-9.0
424940,0.0
424950,8.0
424990,-42.0
425110,8.0
425120,-201.0
441110,108.0
441120,-8.0
441210,-21.797264203377168
441222,-8.900584759651359
441228,4.697848963030765
441310,-2.0
441320,-23.0
442110,-47.0
442210,29.0
442291,-5.0
442299,-126.0
443141,-1.0
443142,-27.0
444110,9.788381348261282
444120,93.21161865177702
444130,-13.0
444190,-53.0
444210,44.256919378335205
444220,-174.25691937837553
445110,-73.0
445120,1.0
445210,-74.0
445220,37.62048194952984
445230,-30.62048194952041
445291,9.0
445292,-16.0
445299,-12.0
445310,-38.0
446110,-125.0
446120,-28.0
446130,-16.0
446191,-8.0
446199,-10.0
447110,-50.841765545615544
447190,135.8417655465825
448110,-35.0
448120,-267.0
448130,-8.0
448140,-149.0
448150,-36.0
448190,-149.0
448210,-116.0
448310,-65.0
448320,-23.0
