,2014,2015,2016,2017,2018,2019,2020,2021
312130,<10,<10,16,14,18,24,13,21
312140,39,12,<10,<10,11,19,34,53
312230,56,19,27,27,<10,<10,<10,<10
313110,326,312,304,65,62,49,47,33
313210,85,41,18,125,122,96,99,79
313220,<10,<10,0,0,0,0,0,0
313230,<10,37,88,<10,<10,22,18,10
313240,37,43,14,<10,<10,<10,28,41
313310,46,31,<10,25,22,45,38,47
313320,<10,<10,26,42,54,40,33,26
314110,<10,0,0,0,0,0,0,0
314120,65,73,71,62,57,41,36,38
314910,278,285,240,116,145,100,112,92
314994,0,0,0,27,<10,0,0,0
314999,12,31,81,171,153,211,255,189
315110,0,0,<10,<10,0,0,0,0
315190,0,0,0,0,0,0,0,0
315210,<10,<10,<10,<10,<10,<10,<10,<10
315220,169,202,182,160,173,190,86,11
315240,29,15,<10,10,<10,<10,<10,11
315280,0,25,18,31,41,38,54,<10
315990,<10,<10,23,<10,<10,<10,13,25
316110,0,0,0,0,<10,<10,<10,<10
316210,0,0,0,0,<10,<10,<10,10
316992,<10,<10,<10,<10,<10,<10,0,0
316998,<10,<10,0,0,0,<10,<10,<10
321113,72,42,61,38,<10,<10,10,29
321114,21,30,87,149,46,45,105,54
321211,137,168,107,50,246,523,442,365
321212,<10,<10,<10,0,0,0,0,0
321213,0,0,0,0,63,47,94,130
321214,0,0,0,0,0,0,0,0
321219,0,0,0,0,0,0,0,0
321911,95,123,135,200,474,435,246,345
321912,30,22,0,0,0,0,0,0
321918,25,26,19,14,11,12,49,<10
321920,502,497,472,462,653,642,630,668
321991,0,0,0,0,0,13,27,21
321992,0,0,0,0,0,0,0,0
321999,33,42,41,<10,51,48,12,0
322110,<10,11,<10,<10,<10,<10,<10,<10
322121,<10,53,69,62,74,99,14,0
322122,0,0,0,0,0,0,0,0
322130,<10,<10,<10,<10,<10,21,102,95
322211,508,568,602,610,716,786,787,813
322212,296,321,278,207,137,109,292,301
322219,21,<10,21,<10,<10,<10,<10,<10
322220,32,<10,<10,12,25,<10,11,0
322230,65,71,87,49,50,42,60,76
322291,32,0,0,0,0,0,0,0
322299,0,0,0,0,<10,11,<10,11
323111,1673,1606,1496,1664,1599,1391,999,900
323113,206,146,141,307,313,310,318,338
323117,17,<10,<10,<10,<10,13,<10,<10
323120,181,197,174,149,146,148,132,109
324110,0,0,0,<10,0,<10,<10,70
324121,<10,16,<10,<10,<10,<10,<10,17
324122,108,112,138,127,147,146,150,88
324191,0,0,0,0,<10,<10,<10,<10
324199,38,15,13,<10,<10,<10,<10,<10
325110,0,0,0,0,0,0,0,0
325120,29,33,14,64,27,37,12,0
325130,54,40,51,24,<10,<10,<10,<10
325180,180,167,79,72,85,82,94,124
325193,0,0,0,0,0,0,0,0
325194,0,0,0,26,28,<10,0,0
325199,15,34,40,0,0,0,0,0
325211,112,159,253,242,177,172,172,174
325212,0,0,0,0,0,0,0,0
325220,36,<10,<10,0,0,0,0,0
325311,0,0,0,0,0,<10,0,0
325312,0,0,0,0,0,0,0,0
325314,0,0,0,0,0,0,0,0
325320,37,33,0,0,0,0,0,0
325411,0,11,<10,<10,<10,<10,<10,17
325412,302,311,326,338,315,340,325,306
325413,13,14,45,46,29,10,18,13
325414,<10,0,0,0,26,12,<10,<10
325510,197,109,223,196,217,247,230,223
325520,0,0,0,0,0,0,0,0
325611,122,172,176,175,184,181,189,208
325612,532,540,516,340,159,133,115,150
325613,0,<10,<10,<10,<10,23,36,<10
325620,47,38,40,37,35,45,56,76
325910,130,131,152,179,168,159,191,196
325920,0,0,0,0,0,0,0,0
325991,<10,<10,<10,38,23,18,<10,<10
325992,34,37,32,28,29,29,28,32
325998,<10,<10,<10,<10,18,17,30,30
326111,<10,<10,<10,0,<10,13,<10,39
326112,0,<10,26,<10,76,<10,15,25
326113,47,51,59,<10,65,149,156,136
326121,0,0,0,0,0,56,43,40
326122,0,0,0,124,14,0,0,0
326130,0,0,0,0,<10,<10,<10,<10
326140,0,<10,14,10,14,<10,<10,<10
326150,0,18,<10,<10,<10,<10,<10,<10
326160,926,937,1016,1024,1072,1127,1133,1236
326191,<10,<10,<10,0,0,<10,<10,<10
326199,724,737,750,786,839,741,580,597
326211,0,0,0,0,0,0,0,0
326212,102,135,133,57,76,48,25,42
326220,180,156,129,<10,16,<10,22,35
326291,0,0,0,0,0,0,0,0
326299,10,10,69,351,354,396,341,254
327110,97,136,85,<10,18,49,126,237
327120,112,95,126,303,245,182,133,18
327211,0,0,0,0,0,0,<10,<10
327212,0,0,0,0,0,0,0,<10
327213,284,259,286,212,142,52,<10,<10
327215,15,<10,12,<10,114,25,53,46
327310,19,35,53,84,69,51,45,34
327320,220,263,292,250,294,300,293,283
327331,47,25,31,10,27,63,81,89
327332,0,0,0,0,0,0,0,0
327390,74,79,126,161,157,120,102,106
327410,0,0,0,0,0,0,0,0
327420,44,48,68,100,96,118,98,77
327910,18,150,128,65,<10,<10,<10,<10
327991,70,106,231,179,168,201,160,98
327992,0,0,0,0,0,0,0,0
327993,360,377,434,471,607,579,594,517
327999,243,111,57,72,<10,37,24,16
331110,20,16,21,<10,<10,<10,<10,<10
331210,0,0,0,0,0,0,0,0
331221,<10,<10,<10,43,<10,14,12,20
331222,0,0,0,0,0,0,0,0
331313,0,0,0,0,0,0,0,0
331314,0,0,0,0,0,0,0,0
331315,0,0,0,<10,21,19,<10,<10
331318,0,0,0,0,0,0,0,0
331410,0,0,0,0,0,0,0,0
331420,0,0,0,0,0,0,<10,<10
331491,0,0,0,0,0,0,<10,<10
331492,0,<10,<10,0,0,0,0,0
331511,<10,<10,<10,<10,31,<10,11,<10
331512,0,0,0,0,0,0,0,0
331513,0,0,0,0,0,0,0,0
331523,0,0,0,0,0,0,0,0
331524,25,20,18,<10,<10,<10,<10,<10
331529,<10,13,<10,24,<10,38,<10,15
332111,92,86,67,63,86,87,99,76
332112,0,0,0,0,0,0,0,0
332114,0,0,0,0,0,0,0,0
332117,0,0,0,0,0,0,0,0
332119,133,135,260,494,487,438,375,444
332215,<10,<10,<10,<10,<10,<10,0,0
332216,139,22,25,27,33,29,20,18
332311,<10,<10,<10,<10,17,23,26,<10
332312,91,99,92,63,36,17,13,<10
332313,<10,<10,0,0,0,0,0,0
332321,204,338,14,<10,13,12,21,29
332322,83,44,71,64,49,50,48,67
332323,121,135,142,212,218,237,235,217
332410,148,227,0,0,0,0,0,0
332420,<10,<10,161,0,0,0,0,0
332431,0,0,0,<10,<10,15,19,<10
332439,0,0,<10,37,30,<10,11,26
332510,56,84,59,<10,<10,17,23,38
332613,0,0,0,0,0,0,0,0
332618,29,64,39,<10,23,33,71,74
332710,111,59,49,50,77,66,40,26
332721,0,0,0,0,0,0,0,0
332722,<10,<10,<10,0,0,0,0,0
332811,31,13,25,<10,<10,<10,<10,<10
332812,333,304,320,320,326,316,316,354
332813,37,55,44,60,57,40,51,22
332911,52,57,35,39,<10,<10,289,286
332912,0,0,0,0,0,0,0,0
332913,0,0,0,0,96,152,<10,<10
332919,0,0,0,0,0,0,<10,<10
332991,0,0,0,0,0,0,0,0
332992,0,0,0,0,0,0,0,0
332993,0,0,0,0,0,0,0,0
332994,<10,<10,20,30,50,40,93,51
332996,<10,0,0,0,0,0,0,0
332999,122,158,161,171,200,235,126,155
333111,<10,12,14,0,0,0,0,0
333112,0,0,0,0,0,0,<10,<10
333120,0,0,0,0,0,0,0,0
333131,0,0,0,0,0,0,0,0
333132,0,0,0,0,0,0,0,0
333241,<10,<10,<10,<10,19,12,41,17
333242,30,15,<10,<10,0,0,0,0
333243,22,25,27,42,0,0,0,0
333244,<10,<10,15,<10,<10,0,0,0
333249,<10,20,<10,<10,<10,<10,<10,<10
333314,0,0,<10,<10,<10,<10,21,25
333316,<10,<10,<10,16,13,<10,<10,12
333318,24,<10,22,33,27,31,<10,10
333413,0,0,0,12,<10,<10,<10,<10
333414,13,12,45,<10,<10,0,0,0
333415,25,37,<10,44,54,63,77,73
333511,23,31,45,<10,<10,<10,<10,13
333514,24,<10,<10,25,46,26,<10,<10
333515,<10,16,<10,0,0,<10,14,11
333517,49,32,28,21,21,39,38,17
333519,0,0,<10,<10,<10,<10,<10,11
333611,19,22,31,15,22,22,66,81
333612,0,0,0,0,0,0,0,0
333613,0,0,0,0,0,0,0,0
333618,0,0,0,0,0,0,0,0
333912,0,0,0,0,0,0,0,0
333914,0,0,0,0,0,0,0,0
333921,0,0,0,0,0,0,0,0
333922,<10,<10,<10,39,0,0,<10,0
333923,0,0,0,0,0,0,<10,11
333924,0,0,0,0,0,0,0,0
333991,0,0,0,0,0,0,0,0
333992,0,0,0,0,<10,<10,<10,<10
333993,<10,<10,14,<10,<10,0,0,0
333994,0,0,0,<10,<10,<10,<10,<10
333995,0,0,0,0,0,0,23,24
333996,0,0,0,0,0,0,0,0
333997,<10,<10,<10,<10,<10,<10,<10,<10
333999,17,22,0,0,31,38,24,<10
334111,<10,<10,<10,16,17,20,406,35
334112,59,25,<10,<10,0,0,0,0
334118,<10,38,104,455,403,397,450,464
334210,<10,<10,27,37,<10,10,12,<10
334220,<10,<10,<10,13,22,24,22,34
334290,<10,<10,<10,18,<10,<10,<10,<10
334310,66,68,87,0,0,0,<10,<10
334412,0,0,0,0,0,0,0,0
334413,<10,<10,<10,11,14,14,13,15
334416,0,0,0,0,0,0,0,0
334417,0,0,0,0,0,0,0,0
334418,0,0,0,<10,<10,<10,<10,<10
334419,13,<10,<10,28,<10,0,<10,<10
