,2014,2015,2016,2017,2018,2019,2020,2021
10,37868,38491,39712,39016,40085,39763,37988,38333
11,375,362,358,349,327,303,369,329
111,202,206,175,174,175,161,159,162
1111,10.333333333333332,10.999999999999998,8.46867523703441,12.289531725150548,14.40045325498145,8.883676747842786,9,23.68962009941785
11115,10.333333333333332,10.999999999999998,8.46867523703441,12.289531725150548,14.40045325498145,8.883676747842786,4.9230558847133095,14.36999233655043
111150,10.333333333333332,10.999999999999998,8.46867523703441,12.289531725150548,14.40045325498145,8.883676747842786,4.9230558847133095,14.36999233655043
11119,,,,,,,4.076944115286691,9.319627762867425
111199,,,,,,,4.076944115286691,9.319627762867425
1112,10.333333333333332,10.999999999999998,14.062649525931185,14.013415563743797,16.40269143167347,10.64691226972898,5.500000000010288,0.0
11121,10.333333333333332,10.999999999999998,14.062649525931185,14.013415563743797,16.40269143167347,10.64691226972898,5.500000000010288,0.0
111211,10.333333333333332,10.999999999999998,7.031324762965595,7.006707781871903,8.201345715836734,5.3234561348644895,,
111219,,,7.031324762965592,7.006707781871897,8.201345715836736,5.32345613486449,5.500000000010288,0.0
1113,141,142,115,121,115,117,102,95
11133,141,142,115,121,115,117,102,95
111335,141,142,115,121,97.23538548058607,102.86208102186588,83.55884949774497,84.06665289576192
111336,,,,,17.76461451941394,14.137918978134117,18.441150502255013,10.933347104238083
1114,10.333333333333332,10.999999999999998,8.46867523703441,8.69705271110565,10.196855313345086,6.755746662465891,5.499999999989713,15.310379900582141
11142,10.333333333333332,10.999999999999998,8.46867523703441,8.69705271110565,10.196855313345086,6.755746662465891,5.499999999989713,15.310379900582141
111421,10.333333333333332,10.999999999999998,8.46867523703441,8.69705271110565,10.196855313345086,6.755746662465891,5.499999999989713,15.310379900582141
1119,30,31,29,18,19,17.713664319962337,37,28
11192,10.048293396268006,10.515387102496735,8.698964133272364,6.0741700054691234,6.581054582842529,6.0227918891620345,12.537109590777582,7.259427318717394
111920,10.048293396268006,10.515387102496735,8.698964133272364,6.0741700054691234,6.581054582842529,6.0227918891620345,12.537109590777582,7.259427318717394
11199,19.951706603731985,20.48461289750326,20.301035866727638,11.92582999453088,12.41894541715747,11.690872430800301,24.462890409222418,20.740572681282604
111992,9.845916717752749,10.24230644875163,10.150517933363819,5.96291499726544,6.209472708578735,6.595994602994221,12.231445204611209,11.21838955702059
111998,10.105789885979242,10.24230644875163,10.150517933363819,5.96291499726544,6.209472708578735,5.09487782780608,12.231445204611209,9.522183124262018
112,10.499999999993591,17.860082783506463,16.799088176323327,11.499999999780478,11.499999999995659,11.39008645761479,20.10043205094846,8.854849278135237
1121,10.499999999993591,17.860082783506463,16.799088176323327,11.499999999780478,11.499999999995659,11.39008645761479,20.10043205094846,8.854849278135237
11211,10.499999999993591,17.860082783506463,16.799088176323327,11.499999999780478,11.499999999995659,11.39008645761479,10.050216025474223,8.854849278135237
112111,10.499999999993591,17.860082783506463,16.799088176323327,11.499999999780478,11.499999999995659,11.39008645761479,10.050216025474223,8.854849278135237
11212,,,,,,,10.050216025474235,
112120,,,,,,,10.050216025474235,
113,10.50000000000641,17.860082783506463,16.799088176323327,11.50000000021952,11.499999999995659,21.860281341405997,21.899567949057595,23.145150721872007
1131,10.50000000000641,17.860082783506463,16.799088176323327,11.50000000021952,11.499999999995659,10.930140670702954,10.949783974589021,11.572575360938826
11311,10.50000000000641,17.860082783506463,16.799088176323327,11.50000000021952,11.499999999995659,10.930140670702954,10.949783974589021,11.572575360938826
113110,10.50000000000641,17.860082783506463,16.799088176323327,11.50000000021952,11.499999999995659,10.930140670702954,10.949783974589021,11.572575360938826
1133,,,,,,10.930140670703045,10.949783974468573,11.572575360933184
11331,,,,,,10.930140670703045,10.949783974468573,11.572575360933184
113310,,,,,,10.930140670703045,10.949783974468573,11.572575360933184
114,33,38,36,31,19,15.74963220100408,14,21
1142,33,38,36,31,19,15.74963220100408,14,21
11421,33,38,36,31,19,15.74963220100408,14,21
114210,33,38,36,31,19,15.74963220100408,14,21
115,119,82.27983443298707,113.40182364735337,121,110,93,154,114
1151,48.2098411041778,28.784975522568136,40.64071921889995,35.6864876997647,33.12083369960632,29.432831766953814,54.51367417868399,39.670690837918336
11511,48.2098411041778,28.784975522568136,40.64071921889995,35.6864876997647,33.12083369960632,29.432831766953818,54.51367417868399,39.670690837918336
115114,16.069947034725935,14.392487761284071,25.602640839161783,35.6864876997647,33.12083369960632,14.716415883476909,34.30524923422503,25.849899602738528
115115,16.069947034725935,14.392487761284068,15.038078379738169,,,,,
115116,16.069947034725935,,,,,14.716415883476909,20.20842494445896,13.820791235179811
1152,19.4714983897185,17.138445780246098,16.520599984181203,20.180748006987,19.894258710717374,15.850601369110315,36.68187263587284,26.285535971487835
11521,19.4714983897185,17.138445780246098,16.520599984181203,20.180748006987,19.894258710717374,15.850601369110315,36.68187263587284,26.285535971487835
115210,19.4714983897185,17.138445780246098,16.520599984181203,20.180748006987,19.894258710717374,15.850601369110315,36.68187263587284,26.285535971487835
1153,51.3186605061037,36.35641313017283,56.2405044442722,65.13276429324833,56.984907589676304,47.71656686393586,62.804453185443144,48.04377319059385
11531,51.3186605061037,36.35641313017283,56.2405044442722,65.13276429324833,56.984907589676304,47.71656686393586,62.804453185443144,48.04377319059385
