,2014,2015,2016,2017,2018,2019,2020,2021
10,3487681,3601136,3696020,3768941,3840308,3927142,3766155,3981817
11,24153,25284,24512,24921,24635,25309,23318,23638
111,8896,9115,9108,9688,9725,9922,8153,8323
1111,186,185,367,301,250,214,252,265
11111,5.956418942404001,7.130032119106234,15.603217299208527,44,43,37,40,32.052736812064275
111110,5.956418942404001,7.130032119106234,15.603217299208527,44,43,37,40,32.052736812064275
11113,6.043581057591574,6.8699678809084,8.396782700864877,,,,,
111130,6.043581057591574,6.8699678809084,8.396782700864877,,,,,
11114,29,25,24,22,14,21,13,20.947263187985385
111140,29,25,24,22,14,21,13,20.947263187985385
11115,84,92,263,140,132,111,148,153
111150,84,92,263,140,132,111,148,153
11119,61,54,56,95,61,45,51,59
111191,35.333002692455835,42,41,51,36,32,34,38
111199,25.666997307544186,12,15,44,25,13,17,21
1112,2630,2728,2650,2967,3012,3147,1662,1481
11121,2630,2728,2650,2967,3012,3147,1662,1481
111211,50.340326504662016,30.162645140585866,45.12668703316384,54.37604499915955,75.79702674906359,54.99628262047445,20.05595419109244,20.596788906228802
111219,2579.6596734953378,2697.8373548594136,2604.8733129668367,2912.6239550008177,2936.2029732508713,3092.0037173793953,1641.9440458088989,1460.403211093771
1113,1712,1623,1604,1579,1707,1722,1688,1726
11132,,,,,,,,16.33993041684771
111320,,,,,,,,16.33993041684771
11133,1712,1623,1604,1579,1707,1722,1688,1709.660069583152
111331,173,145.8796401285899,60.7014330147321,73.50000000000003,77.26075460204481,69.12170500345502,118,98
111332,60.27973049679561,44,42,45,47,48,48,51
111333,67.39578105486281,24,83.23072065215607,24,102.73924539795516,89.87829499654497,17,23.936439961968215
111334,324,309,344,284,259,299,349,313
111335,818,823,799,825,898,903,802,862
111336,16.32448844834156,33.120359871410095,25.067846333111834,73.49999999999994,48,36,43,18.72362962118405
111339,253,244,250,254,275,277,311,343
1114,2381,2493,2530,2871,2950,3052,2868,2978
11141,119,164,170,228,324,298,297,356
111411,15.232216562431374,29.700387958485276,39.93934214039107,7,8,16,28,101.32736617255411
111419,103.76778343756862,134.2996120415147,130.06065785960894,221,316,282,269,254.67263382744588
11142,2262,2329,2360,2643,2626,2754,2571,2622
111421,1812,1869,1914,2140,2169,2267,2078,2132
111422,450,460,446,503,457,487,493,490
1119,1987,2086,1957,1970,1806,1787,1683,1873
11191,84,73,84,83,39.37216719267649,51,55,43
111910,84,73,84,83,39.37216719267649,51,55,43
11192,1111,1151,1028,975,900,862,835,852
111920,1111,1151,1028,975,900,862,835,852
11193,17.222044639032323,20.230045401608308,24.52425445912617,22.183748225965235,21.627832807323493,19.249883232042635,17.79351006212412,20.871867406229427
111930,17.222044639032323,20.230045401608308,24.52425445912617,22.183748225965235,21.627832807323493,19.249883232042635,17.79351006212412,20.871867406229427
11194,23.777955360967677,39.76995459839169,37.47574554087384,45.816251774034775,64,22.750116767957362,19.206489937875876,28.128132593770573
111940,23.777955360967677,39.76995459839169,37.47574554087384,45.816251774034775,64,22.750116767957362,19.206489937875876,28.128132593770573
11199,751,802,783,844,781,832,756,929
111992,466,498,431,469,426,445,459,494
111998,285,304,352,375,355,387,297,435
112,4269,4394,4330,4319,4379,4883,4949,4702
1121,1385,1367,1369,1375,1323,1504,1562,1556
11211,299,278,313,258,308,458,465,480
112111,277.5100077682038,258.4369931635451,258.51138777342453,240,285,434,438,459
112112,21.489992231796286,19.56300683645499,54.488612226575434,18,23,24,27,21
11212,1086,1089,1056,1117,1015,1046,1097,1076
112120,1086,1089,1056,1117,1015,1046,1097,1076
1122,44.85900868602103,42.9818049938,39.99353447389372,43.99273032064766,81,78,59,64
11221,44.85900868602103,42.9818049938,39.99353447389372,43.99273032064766,81,78,59,64
112210,44.859008686021035,42.9818049938,39.99353447389372,43.99273032064766,81,78,59,64
1123,2342,2495,2420,2448,2482,2859,2860,2614
11231,474,557,527,636,645,706,698,604
112310,474,557,527,636,645,706,698,604
11232,666,693,724,703,697,918,945,878
112320,666,693,724,703,697,918,945,878
11234,1015,1063,1017,968,971,1070,1062,999
112340,1015,1063,1017,968,971,1070,1062,999
11239,187,182,152,141,169,165,155,133
112390,187,182,152,141,169,165,155,133
1124,21.140991313978965,21.018195006200006,29.00646552610628,45.0709393388195,9,8,6,10
