,2014,2015,2016,2017,2018,2019,2020,2021,MAD
112920,196.2,162.7,173.2,159.6,154.2,155.6,162.7,135.6,162.5
11299,145.6,147.0,134.7,111.4,128.8,185.6,183.3,159.5,149.5
112990,145.6,147.0,134.7,111.4,128.8,185.6,183.3,159.5,149.5
113,452.9,646.5,743.1,874.1,4761.8,6193.7,253.3,973.5,1862.4
1131,55.5,170.7,200.5,201.4,220.9,256.1,192.0,250.8,193.5
11311,55.5,170.7,200.5,201.4,220.9,256.1,192.0,250.8,193.5
113110,55.5,170.7,200.5,201.4,220.9,256.1,192.0,250.8,193.5
1132,63.9,41.4,12.3,74.6,77.2,70.1,68.3,137.9,68.2
11321,63.9,41.4,12.3,74.6,77.2,70.1,68.3,137.9,68.2
113210,63.9,41.4,12.3,74.6,77.2,70.1,68.3,137.9,68.2
1133,333.5,434.3,530.3,598.1,4463.8,5867.6,6.9,584.8,1602.4
11331,333.5,434.3,530.3,598.1,4463.8,5867.6,6.9,584.8,1602.4
113310,333.5,434.3,530.3,598.1,4463.8,5867.6,6.9,584.8,1602.4
114,284.0,355.3,354.0,277.1,118.8,126.7,129.9,76.4,215.3
1141,39.8,52.2,47.8,31.2,55.2,27.2,38.4,12.5,38.0
11411,39.8,52.2,47.8,31.2,55.2,27.2,38.4,12.5,38.0
114111,16.9,16.1,15.6,12.3,36.6,21.9,30.8,16.7,20.9
114112,22.3,29.8,25.2,17.7,18.6,5.3,7.5,4.2,16.3
114119,0.6,6.3,7.0,1.2,0.0,0.0,0.0,0.0,1.9
1142,244.2,303.1,306.2,245.9,63.6,99.5,91.5,63.9,177.2
11421,244.2,303.1,306.2,245.9,63.6,99.5,91.5,63.9,177.2
114210,244.2,303.1,306.2,245.9,63.6,99.5,91.5,63.9,177.2
115,10.3,143.4,190.1,202.6,578.7,100.4,309.2,50.0,198.1
1151,720.2,531.0,656.1,684.2,550.9,670.2,393.8,360.6,570.9
11511,720.2,531.0,656.1,684.2,550.9,670.2,393.8,360.6,570.9
115111,880.2,593.8,634.1,434.5,392.0,475.7,304.9,290.8,500.7
115112,334.7,409.8,290.5,402.2,359.4,295.0,323.0,340.4,344.4
115113,50.4,5.7,50.8,45.6,128.7,67.4,10.5,30.6,48.7
115114,490.0,723.9,514.0,581.1,535.0,512.4,538.8,587.4,560.3
115115,292.5,445.0,78.8,69.6,117.1,5.6,32.7,42.2,135.4
115116,73.1,62.4,71.8,94.8,28.4,84.6,104.7,104.3,78.0
1152,413.6,411.7,393.7,299.2,273.5,207.5,193.9,152.4,293.2
11521,413.6,411.7,393.7,299.2,273.5,207.5,193.9,152.4,293.2
115210,413.6,411.7,393.7,299.2,273.5,207.5,193.9,152.4,293.2
1153,316.9,262.6,452.4,587.7,856.2,563.1,509.1,258.3,475.8
11531,316.9,262.6,452.4,587.7,856.2,563.1,509.1,258.3,475.8
115310,316.9,262.6,452.4,587.7,856.2,563.1,509.1,258.3,475.8
21,338.3,488.4,482.6,346.2,486.9,670.6,843.7,1205.3,607.8
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,667.6,935.9,1000.5,604.3,862.5,927.2,1071.8,1493.8,945.4
2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,2.3
21229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,2.3
212291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,2.3
2123,667.6,935.9,1000.5,604.3,862.5,927.2,1071.8,1475.4,943.1
21231,63.7,153.2,382.2,232.0,296.2,456.6,409.8,252.8,280.8
212311,47.8,9.0,11.7,19.4,17.1,37.9,15.1,68.0,28.3
212312,136.5,148.2,202.7,189.4,89.4,43.1,20.9,5.1,104.4
212313,59.1,19.9,126.8,15.7,136.0,205.6,278.1,172.4,126.7
212319,93.3,15.9,41.0,38.9,87.9,170.0,137.6,143.4,91.0
21232,764.5,801.4,614.5,358.6,566.3,441.6,637.6,1274.2,682.3
212321,58.4,80.8,79.5,0.4,15.5,51.2,49.1,18.4,44.2
212322,376.1,295.0,286.6,53.8,54.6,80.5,81.0,57.8,160.7
212324,580.8,506.8,306.2,213.3,196.1,355.3,333.6,429.5,365.2
212325,618.3,670.5,674.5,198.7,409.2,218.0,434.1,920.9,518.0
21239,33.2,18.8,3.8,13.7,0.1,29.0,24.4,51.6,21.8
212391,10.0,10.2,14.6,20.4,23.3,26.8,16.4,4.9,15.8
212393,25.4,20.8,11.0,10.6,23.3,5.7,0.1,34.1,16.4
212399,17.9,8.2,0.2,3.9,0.0,7.8,7.8,12.6,7.3
213,329.2,447.5,517.9,258.0,375.5,256.6,228.0,288.5,337.7
2131,329.2,447.5,517.9,258.0,375.5,256.6,228.0,288.5,337.7
