,2014,2015,2016,2017,2018,2019,2020,2021,MAD
312230,40.2,26.2,96.7,56.0,127.9,230.6,215.3,184.5,122.2
313,3207.5,3130.1,1524.4,2618.6,672.7,177.5,654.5,762.7,1593.5
3131,1370.0,1204.6,1026.1,1181.9,531.5,136.4,944.6,600.0,874.4
31311,1370.0,1204.6,1026.1,1181.9,531.5,136.4,944.6,600.0,874.4
313110,1370.0,1204.6,1026.1,1181.9,531.5,136.4,944.6,600.0,874.4
3132,3148.8,2928.2,2852.1,1868.2,1377.7,1232.3,776.9,932.8,1889.6
31321,2944.7,2819.1,2686.0,1961.6,1575.7,1271.0,658.6,681.9,1824.8
313210,2944.7,2819.1,2686.0,1961.6,1575.7,1271.0,658.6,681.9,1824.8
31322,271.1,194.3,179.2,221.6,217.3,116.2,107.5,112.6,177.5
313220,271.1,194.3,179.2,221.6,217.3,116.2,107.5,112.6,177.5
31323,488.5,316.0,356.4,155.8,54.6,103.8,233.6,366.6,259.4
313230,488.5,316.0,356.4,155.8,54.6,103.8,233.6,366.6,259.4
31324,13.2,12.6,11.0,27.6,35.3,26.3,7.9,3.1,17.1
313240,13.2,12.6,11.0,27.6,35.3,26.3,7.9,3.1,17.1
3133,1311.4,1002.7,2353.8,431.5,1236.6,1546.2,1067.0,770.1,1214.9
31331,1018.3,706.7,1923.3,302.8,1173.2,1396.1,843.7,573.6,992.2
313310,1018.3,706.7,1923.3,302.8,1173.2,1396.1,843.7,573.6,992.2
31332,293.1,295.9,430.4,128.7,63.3,150.1,223.3,196.5,222.7
313320,293.1,295.9,430.4,128.7,63.3,150.1,223.3,196.5,222.7
314,2545.1,2117.5,1594.0,739.6,964.1,2217.3,1857.8,3191.6,1903.4
3141,11.8,741.4,645.0,1173.6,753.4,30.9,27.8,446.8,478.9
31411,957.8,1667.3,891.8,903.2,830.0,327.6,248.7,637.2,808.0
314110,957.8,1667.3,891.8,903.2,830.0,327.6,248.7,637.2,808.0
31412,969.6,925.9,246.8,270.5,76.6,296.7,220.9,190.4,399.7
314120,969.6,925.9,246.8,270.5,76.6,296.7,220.9,190.4,399.7
3149,2533.4,2858.9,2239.0,1913.3,1717.5,2248.2,1885.7,3638.4,2379.3
31491,585.3,822.7,634.0,272.0,232.2,385.0,229.6,313.0,434.2
314910,585.3,822.7,634.0,272.0,232.2,385.0,229.6,313.0,434.2
31499,1948.0,2036.2,1604.9,1641.3,1485.3,1863.2,1656.1,3325.4,1945.1
314994,32.9,1.5,112.6,45.4,73.3,98.9,2.7,1546.9,239.3
314999,1980.9,2034.7,1717.5,1686.7,1558.6,1962.1,1653.4,1778.5,1796.6
315,1702.3,1409.9,1672.6,4610.8,2272.6,2812.6,1428.7,1641.3,2193.9
3151,36.5,35.6,29.8,42.9,41.2,23.5,30.6,18.7,32.3
31511,36.5,35.6,29.8,42.9,41.2,23.5,30.6,18.7,32.3
315110,36.5,35.6,29.8,42.9,41.2,23.5,30.6,18.7,32.3
3152,1473.4,1124.5,1343.8,3820.8,2051.7,2595.8,1140.6,1324.0,1859.3
31521,1343.1,966.4,1029.5,2893.3,1802.9,2302.0,768.1,913.7,1502.4
315210,1343.1,966.4,1029.5,2893.3,1802.9,2302.0,768.1,913.7,1502.4
31522,93.7,7.6,102.4,252.9,141.2,149.4,223.5,43.3,126.8
315220,93.7,7.6,102.4,252.9,141.2,149.4,223.5,43.3,126.8
31524,8.1,50.0,140.1,515.9,67.1,48.5,34.0,223.3,135.9
315240,8.1,50.0,140.1,515.9,67.1,48.5,34.0,223.3,135.9
31528,28.5,100.5,71.7,158.6,174.8,193.0,183.0,230.3,142.5
315280,28.5,100.5,71.7,158.6,174.8,193.0,183.0,230.3,142.5
3159,192.3,249.9,299.1,747.2,179.7,193.3,257.4,298.6,302.2
31599,192.3,249.9,299.1,747.2,179.7,193.3,257.4,298.6,302.2
315990,192.3,249.9,299.1,747.2,179.7,193.3,257.4,298.6,302.2
316,420.7,653.9,907.7,1174.6,666.7,822.4,866.9,766.4,784.9
3161,227.6,205.6,173.1,91.1,64.0,23.0,16.4,33.1,104.3
31611,227.6,205.6,173.1,91.1,64.0,23.0,16.4,33.1,104.3
316110,227.6,205.6,173.1,91.1,64.0,23.0,16.4,33.1,104.3
3162,105.5,161.9,204.2,61.5,83.7,84.0,1.5,27.3,91.2
31621,105.5,161.9,204.2,61.5,83.7,84.0,1.5,27.3,91.2
316210,105.5,161.9,204.2,61.5,83.7,84.0,1.5,27.3,91.2
3169,87.6,286.4,530.4,1022.0,686.4,883.4,852.0,760.6,638.6
31699,87.6,286.4,530.4,1022.0,686.4,883.4,852.0,760.6,638.6
316992,7.5,188.7,180.3,380.2,43.7,100.5,56.5,130.9,136.0
316998,80.1,97.7,350.1,641.7,642.7,782.9,795.5,629.7,502.6
31_33,2381.4,3388.4,2929.6,3998.5,3933.4,2282.9,4535.4,4719.5,3521.1
321,1878.7,2265.7,2839.6,3147.9,1624.0,1654.1,430.7,956.0,1849.6
3211,448.8,674.8,807.4,1970.7,627.5,1002.1,561.4,407.9,812.6
32111,448.8,674.8,807.4,1970.7,627.5,1002.1,561.4,407.9,812.6
321113,328.1,322.4,592.2,1974.3,720.7,1116.7,720.5,255.7,753.8
321114,120.7,352.3,215.2,3.6,93.2,114.6,159.1,152.1,151.4
3212,375.3,560.0,703.1,631.2,847.2,1028.5,1544.7,1567.9,907.2
32121,375.3,560.0,703.1,631.2,847.2,1028.5,1544.7,1567.9,907.2
321211,154.0,277.7,382.6,399.9,280.1,118.6,426.0,392.0,303.9
321212,454.6,403.3,321.9,207.4,266.1,258.1,316.2,329.4,319.6
321213,43.4,104.0,126.2,179.5,246.8,258.5,269.9,357.2,198.2
321214,307.5,384.3,277.6,242.5,47.3,196.9,257.7,202.4,239.5
321219,30.8,159.3,150.1,86.8,101.4,196.3,275.0,286.9,160.8
3219,1805.2,2150.9,2735.3,1808.4,1843.7,1680.5,1414.1,2116.0,1944.3
32191,704.4,951.1,581.9,51.5,914.6,524.5,401.8,800.7,616.3
321911,246.8,365.5,237.9,438.5,540.8,76.9,81.1,28.2,252.0
321912,1.7,146.4,114.9,241.9,282.1,71.0,111.6,253.3,152.9
321918,455.8,439.1,229.0,145.0,91.7,376.5,371.3,519.2,328.5
32192,507.0,664.8,1140.2,1478.8,751.6,905.3,423.1,615.9,810.8
321920,507.0,664.8,1140.2,1478.8,751.6,905.3,423.1,615.9,810.8
32199,593.9,535.0,1013.3,381.1,177.4,250.8,589.2,699.4,530.0
321991,5.9,134.3,379.3,482.6,599.0,578.6,579.1,445.4,400.5
321992,61.8,77.4,87.6,71.4,78.6,84.5,117.5,150.0,91.1
321999,661.6,746.7,721.5,792.3,697.8,744.8,1050.8,994.9,801.3
322,3958.3,3981.4,3419.1,3578.5,4429.2,3414.0,3363.1,4121.1,3783.1
3221,4093.3,3760.1,3337.7,3467.4,4242.7,4434.1,4307.0,4248.1,3986.3
32211,202.3,97.0,330.2,331.3,22.5,38.1,26.6,103.5,143.9
322110,202.3,97.0,330.2,331.3,22.5,38.1,26.6,103.5,143.9
32212,1744.7,1570.8,1503.8,1605.2,1954.4,2143.8,1957.1,2064.8,1818.1
322121,1738.7,1565.0,1519.0,1491.2,1622.5,1870.6,1655.5,1650.6,1639.1
322122,6.0,5.8,15.2,114.0,331.9,273.2,301.6,414.2,182.7
32213,2146.2,2092.4,2164.0,2193.6,2265.8,2328.3,2323.4,2286.8,2225.0
322130,2146.2,2092.4,2164.0,2193.6,2265.8,2328.3,2323.4,2286.8,2225.0
3222,134.9,221.4,81.4,111.1,186.5,1020.0,943.9,127.0,353.3
32221,918.9,120.0,691.3,513.9,217.4,1486.7,845.5,533.6,665.9
322211,1217.4,867.3,1515.9,757.1,673.8,1761.7,1108.3,928.9,1103.8
322212,143.3,255.2,337.0,245.8,201.5,288.6,360.7,333.9,270.8
322219,441.7,492.1,487.6,489.0,254.9,13.7,98.0,61.4,292.3
32222,1006.7,35.2,442.0,445.3,196.6,209.1,35.3,680.1,381.3
322220,1006.7,35.2,442.0,445.3,196.6,209.1,35.3,680.1,381.3
32223,96.0,28.0,223.5,197.2,103.4,52.0,252.2,106.5,132.3
322230,96.0,28.0,223.5,197.2,103.4,52.0,252.2,106.5,132.3
32229,318.7,278.2,107.2,17.5,103.9,309.5,189.0,166.9,186.4
322291,161.6,479.2,395.0,500.1,637.8,555.8,558.5,301.7,448.7
322299,157.1,201.0,287.7,517.6,533.9,246.3,369.5,468.6,347.7
323,7996.1,8112.9,7260.0,6416.9,5729.3,5431.0,4751.9,3726.3,6178.1
3231,7996.1,8112.9,7260.0,6416.9,5729.3,5431.0,4751.9,3726.3,6178.1
32311,7895.5,8017.0,7154.1,6316.0,5566.9,5282.1,4528.7,3333.8,6011.8
323111,5903.6,5949.2,5968.8,4695.1,4160.7,3538.4,3167.3,2189.9,4446.6
323113,1943.2,2033.3,1160.8,1621.1,1419.8,1756.2,1351.1,1145.1,1553.8
323117,48.7,34.6,24.4,0.2,13.5,12.5,10.2,1.2,18.2
32312,100.6,95.9,105.9,100.9,162.3,148.9,223.3,392.5,166.3
323120,100.6,95.9,105.9,100.9,162.3,148.9,223.3,392.5,166.3
324,1402.9,1563.4,1403.7,1369.1,906.0,955.6,821.9,945.8,1171.1
3241,1402.9,1563.4,1403.7,1369.1,906.0,955.6,821.9,945.8,1171.1
32411,63.8,55.9,81.8,91.6,34.8,43.2,58.9,10.8,55.1
324110,63.8,55.9,81.8,91.6,34.8,43.2,58.9,10.8,55.1
32412,1233.4,1404.3,1195.7,1084.9,751.0,808.5,564.9,777.0,977.5
324121,1065.5,1069.3,958.3,926.6,862.0,1000.6,822.5,1016.8,965.2
324122,167.9,335.0,237.4,158.3,111.0,192.1,257.6,239.8,212.4
32419,105.7,103.3,126.2,192.6,120.2,103.8,198.1,179.7,141.2
324191,90.3,112.0,115.8,211.9,156.7,140.0,157.2,150.0,141.7
324199,15.4,8.7,10.4,19.3,36.6,36.2,40.9,29.7,24.6
325,221.0,319.0,561.2,980.0,744.6,103.3,329.2,841.6,512.5
3251,44.9,38.3,154.4,10.2,44.9,53.9,186.3,75.8,76.1
32511,7.9,2.7,1.7,7.6,0.0,0.0,0.0,0.0,2.5
325110,7.9,2.7,1.7,7.6,0.0,0.0,0.0,0.0,2.5
32512,180.3,61.5,100.7,28.7,102.6,104.9,116.8,16.3,89.0
325120,180.3,61.5,100.7,28.7,102.6,104.9,116.8,16.3,89.0
32513,1.5,32.1,63.8,52.6,68.6,29.4,14.0,22.2,35.5
325130,1.5,32.1,63.8,52.6,68.6,29.4,14.0,22.2,35.5
32518,335.3,62.7,342.7,370.1,421.2,357.9,330.7,70.7,286.4
325180,335.3,62.7,342.7,370.1,421.2,357.9,330.7,70.7,286.4
32519,190.5,2.3,153.1,271.0,205.1,169.7,41.6,108.0,142.7
325193,116.4,50.8,38.1,144.0,93.0,36.1,33.0,2.2,64.2
325194,4.8,41.1,64.2,148.0,128.4,146.3,41.9,145.1,90.0
325199,78.9,12.0,179.2,275.1,240.6,279.9,50.4,34.9,143.9
3252,558.5,734.7,611.1,647.2,656.7,956.4,1042.0,1573.3,847.5
32521,51.9,213.6,0.5,103.4,340.6,123.4,320.2,37.5,148.9
325211,310.3,72.2,244.6,344.0,394.7,185.9,403.1,122.2,259.6
325212,258.4,285.8,245.1,240.6,54.1,62.6,82.9,159.8,173.6
32522,610.4,521.1,610.5,750.7,997.3,1079.8,1362.2,1535.8,933.5
325220,610.4,521.1,610.5,750.7,997.3,1079.8,1362.2,1535.8,933.5
3253,185.4,446.0,417.7,437.8,394.9,405.3,343.7,297.3,366.0
32531,139.0,347.5,296.2,294.9,317.2,346.3,333.3,312.7,298.4
325311,50.8,80.1,21.5,22.1,8.8,116.6,148.1,130.1,72.3
325314,88.2,267.4,274.7,272.8,325.9,229.7,185.2,182.6,228.3
32532,46.4,98.6,121.5,142.9,77.7,59.0,10.4,15.4,71.5
325320,46.4,98.6,121.5,142.9,77.7,59.0,10.4,15.4,71.5
3254,159.5,197.1,113.1,160.3,37.9,2.5,102.6,101.0,109.3
32541,159.5,197.1,113.1,160.3,37.9,2.5,102.6,101.0,109.3
325411,90.1,50.2,96.9,73.6,77.5,118.9,63.8,263.3,104.3
325412,308.1,334.2,171.0,266.6,71.6,26.6,114.2,320.4,201.6
325413,57.7,43.2,133.2,34.4,137.5,102.1,78.7,32.1,77.4
325414,116.2,43.7,94.2,1.7,26.3,12.3,3.3,126.1,53.0
3255,1034.1,1271.1,1355.9,1784.8,1666.5,1243.2,1341.1,716.2,1301.6
32551,1059.9,1235.5,1446.1,1776.2,1840.6,1388.2,1574.2,835.2,1394.5
325510,1059.9,1235.5,1446.1,1776.2,1840.6,1388.2,1574.2,835.2,1394.5
32552,25.9,35.6,90.2,8.7,174.2,145.0,233.1,119.0,103.9
325520,25.9,35.6,90.2,8.7,174.2,145.0,233.1,119.0,103.9
3256,558.9,403.7,487.0,651.4,1043.6,660.1,845.4,659.1,663.6
32561,624.3,575.7,686.9,718.4,1080.6,765.7,1039.5,780.9,784.0
325611,749.8,477.3,635.9,705.7,683.9,600.9,817.2,813.2,685.5
325612,171.2,92.7,21.2,118.1,16.5,91.3,150.7,29.0,86.3
325613,45.6,5.7,72.2,130.9,413.1,73.5,71.6,3.3,102.0
32562,65.4,172.0,199.9,67.1,37.0,105.6,194.1,121.8,120.4
325620,65.4,172.0,199.9,67.1,37.0,105.6,194.1,121.8,120.4
3259,1203.4,1225.9,1047.0,1396.9,1620.8,1192.6,870.1,915.7,1184.0
32591,49.7,82.6,19.0,121.7,137.1,5.6,48.5,61.6,65.7
325910,49.7,82.6,19.0,121.7,137.1,5.6,48.5,61.6,65.7
32592,34.3,31.2,25.3,12.1,14.7,14.0,13.1,8.1,19.1
325920,34.3,31.2,25.3,12.1,14.7,14.0,13.1,8.1,19.1
32599,1287.3,1339.7,1091.4,1530.7,1772.6,1212.1,931.6,985.5,1268.9
325991,437.5,421.2,379.1,567.2,381.8,211.5,165.3,125.5,336.1
325992,50.0,48.5,51.5,47.0,39.1,28.7,37.0,77.6,47.4
325998,899.8,966.9,763.8,1010.5,1351.7,971.9,729.3,782.3,934.5
326,788.9,566.9,1491.3,1244.9,1209.9,508.5,1009.2,7.6,853.4
3261,498.2,410.6,1786.1,813.4,810.4,2057.7,1830.9,593.6,1100.1
32611,497.5,531.7,750.7,746.7,798.9,483.5,937.7,1108.0,731.8
326111,55.3,141.3,97.9,19.6,27.3,188.5,79.7,211.5,102.6
326112,173.1,94.3,43.6,3.7,48.2,18.5,42.1,20.2,55.5
326113,726.0,767.3,805.0,762.5,819.7,690.5,816.0,876.3,782.9
32612,540.7,504.2,443.5,430.5,303.3,290.0,263.6,376.9,394.1
326121,355.9,328.7,291.8,349.5,257.8,170.7,123.8,197.2,259.4
326122,184.8,175.5,151.6,81.0,45.5,119.3,139.7,179.8,134.6
32613,69.6,51.8,49.0,68.7,69.4,81.1,39.7,150.7,72.5
326130,69.6,51.8,49.0,68.7,69.4,81.1,39.7,150.7,72.5
32614,243.8,272.4,1.4,3.6,4.8,218.7,496.4,514.9,219.5
326140,243.8,272.4,1.4,3.6,4.8,218.7,496.4,514.9,219.5
32615,309.5,133.7,528.6,304.8,462.6,646.3,130.1,527.4,380.4
326150,309.5,133.7,528.6,304.8,462.6,646.3,130.1,527.4,380.4
32616,398.2,283.6,135.4,162.2,151.9,3.2,207.1,121.8,182.9
326160,398.2,283.6,135.4,162.2,151.9,3.2,207.1,121.8,182.9
32619,1311.7,1272.2,2268.6,1775.7,1676.0,2050.5,2159.0,1065.1,1697.3
326191,193.1,85.6,19.8,401.3,373.4,404.5,407.7,248.6,266.8
326199,1118.6,1186.6,2248.8,1374.4,1302.6,1646.0,1751.3,816.5,1430.6
3262,290.7,156.3,294.7,431.5,399.5,1549.1,821.8,585.9,566.2
32621,235.6,129.5,352.9,188.7,181.0,1321.5,887.9,1032.0,541.1
326211,60.0,947.4,1149.2,794.3,752.9,1458.8,1456.5,1607.7,1028.4
326212,175.5,817.9,796.3,605.6,572.0,137.3,568.6,575.7,531.1
32622,127.2,207.1,112.3,259.7,295.2,179.8,717.5,741.6,330.1
326220,127.2,207.1,112.3,259.7,295.2,179.8,717.5,741.6,330.1
32629,72.1,78.7,54.1,360.5,285.3,47.8,651.3,295.6,230.7
326291,0.4,79.1,80.8,82.2,168.9,7.6,252.0,304.7,122.0
326299,72.5,157.8,26.7,278.2,116.4,40.3,399.4,9.2,137.6
327,2421.6,1968.2,2094.6,2283.6,1523.6,1920.7,3039.0,2417.2,2208.6
3271,475.0,351.0,354.6,117.0,150.7,51.3,140.7,25.5,208.2
32711,432.0,469.6,465.5,401.5,427.0,22.7,411.9,215.0,355.6
327110,432.0,469.6,465.5,401.5,427.0,22.7,411.9,215.0,355.6
32712,43.0,118.7,110.9,284.5,276.3,74.0,552.6,240.5,212.6
327120,43.0,118.7,110.9,284.5,276.3,74.0,552.6,240.5,212.6
3272,1226.5,1283.8,1254.8,752.5,749.9,767.1,530.4,670.3,904.4
32721,1226.5,1283.8,1254.8,752.5,749.9,767.1,530.4,670.3,904.4
327211,262.1,197.8,327.7,49.7,72.9,229.4,88.8,90.9,164.9
327212,207.7,69.5,426.3,17.0,8.3,119.0,131.0,86.3,133.1
327213,903.8,855.0,870.6,794.7,447.0,458.5,388.0,435.7,644.2
327215,147.1,161.6,369.9,108.9,221.7,198.2,77.4,57.4,167.8
3273,2523.9,2326.7,2185.0,2268.1,1992.9,2181.2,3248.6,2765.5,2436.5
32731,589.3,384.5,352.8,544.1,622.8,523.6,609.1,455.0,510.2
327310,589.3,384.5,352.8,544.1,622.8,523.6,609.1,455.0,510.2
32732,1478.7,1622.9,1541.4,1615.6,1380.3,1506.0,2516.6,2417.3,1759.8
327320,1478.7,1622.9,1541.4,1615.6,1380.3,1506.0,2516.6,2417.3,1759.8
32733,129.4,182.6,158.2,188.9,132.9,324.3,145.9,45.2,163.4
327331,58.8,89.3,100.9,42.9,5.4,55.2,70.2,55.8,59.8
327332,70.6,93.3,57.2,146.0,127.5,269.1,75.8,101.0,117.6
32739,326.4,136.7,132.6,80.5,143.1,172.7,23.0,152.0,145.9
327390,326.4,136.7,132.6,80.5,143.1,172.7,23.0,152.0,145.9
3274,64.4,57.9,125.0,142.6,351.2,205.1,346.3,320.2,201.6
32742,64.4,57.9,125.0,142.6,351.2,205.1,346.3,320.2,201.6
327420,64.4,57.9,125.0,142.6,351.2,205.1,346.3,320.2,201.6
3279,713.6,632.2,934.8,793.6,481.1,660.4,807.8,667.8,711.4
32791,78.2,24.3,22.7,57.6,95.7,82.7,75.5,97.2,66.7
327910,78.2,24.3,22.7,57.6,95.7,82.7,75.5,97.2,66.7
32799,635.4,656.5,957.5,851.2,385.4,577.6,732.4,570.6,670.8
327991,1071.7,926.5,1059.8,1125.8,1111.5,965.3,1111.8,847.7,1027.5
327992,314.4,174.1,97.7,88.3,214.8,256.6,240.9,171.8,194.8
327993,327.5,351.2,305.6,449.8,789.4,456.1,516.6,492.5,461.1
327999,205.6,255.3,301.0,263.5,278.0,325.1,378.1,387.2,299.2
331,250.5,1023.2,1176.4,900.8,1243.8,1430.0,1070.0,108.7,900.4
3311,233.2,413.8,398.8,871.6,677.0,521.0,455.7,140.6,464.0
33111,233.2,413.8,398.8,871.6,677.0,521.0,455.7,140.6,464.0
331110,233.2,413.8,398.8,871.6,677.0,521.0,455.7,140.6,464.0
3312,141.2,58.7,1.6,66.0,93.0,777.0,865.6,13.8,252.1
33121,44.1,118.0,125.6,118.5,90.6,187.5,257.3,115.6,132.2
331210,44.1,118.0,125.6,118.5,90.6,187.5,257.3,115.6,132.2
33122,97.0,176.7,127.2,52.4,183.6,589.5,608.3,129.4,245.5
331221,22.4,5.9,0.7,91.6,51.3,410.8,352.6,58.3,124.2
331222,119.5,170.9,126.5,144.0,132.2,178.7,255.7,71.1,149.8
3313,998.5,1283.9,1537.7,1679.8,1854.7,1843.4,1532.2,1380.4,1513.8
33131,998.5,1283.9,1537.7,1679.8,1854.7,1843.4,1532.2,1380.4,1513.8
331313,6.3,35.4,48.0,28.6,17.2,146.2,64.6,16.4,45.3
331314,68.9,72.6,75.5,65.7,121.2,215.4,118.5,69.0,100.9
331315,31.8,35.8,37.2,134.7,263.4,134.6,200.8,10.2,106.1
331318,967.8,1140.1,1377.0,1450.8,1452.9,1347.1,1148.3,1317.5,1275.2
3314,183.6,228.8,322.1,117.6,218.6,584.9,691.2,433.9,347.6
33141,58.1,50.9,0.0,34.3,180.1,29.5,17.2,64.4,54.3
331410,58.1,50.9,0.0,34.3,180.1,29.5,17.2,64.4,54.3
33142,441.9,773.5,215.4,501.7,310.5,301.5,209.5,839.1,449.1
331420,441.9,773.5,215.4,501.7,310.5,301.5,209.5,839.1,449.1
33149,567.4,493.8,537.5,585.0,271.9,312.8,498.9,1337.4,575.6
331491,101.6,166.4,811.5,641.2,89.2,88.3,287.3,494.1,335.0
331492,465.9,327.4,274.0,56.3,182.7,224.5,211.6,843.3,323.2
3315,190.0,16.9,282.9,91.0,59.6,84.5,180.9,683.3,198.6
33151,320.8,368.9,147.2,277.5,291.8,186.9,32.9,28.4,206.8
331511,455.1,467.9,258.6,115.2,421.6,313.8,313.9,274.7,327.6
331513,134.3,99.0,111.4,162.3,129.7,126.9,281.1,303.1,168.5
33152,510.8,385.8,430.1,368.5,351.4,271.4,213.7,654.9,398.3
331523,223.3,191.8,259.9,211.6,188.0,132.6,120.0,140.7,183.5
331524,293.4,201.6,185.6,178.6,183.4,168.4,123.3,438.2,221.6
331529,6.0,7.6,15.5,21.8,20.0,29.6,29.6,76.0,25.8
332,2633.2,2865.5,2760.1,2298.8,2839.2,799.4,1837.1,1062.0,2136.9
3321,501.9,551.4,769.4,840.7,923.2,1051.6,510.2,657.4,725.7
33211,501.9,551.4,769.4,840.7,923.2,1051.6,510.2,657.4,725.7
332111,130.6,95.4,175.3,29.8,11.5,46.1,24.6,5.3,64.8
332112,22.9,14.8,44.1,283.6,342.3,318.7,110.1,166.9,162.9
332114,162.7,158.1,183.7,182.1,157.0,238.2,165.2,164.6,176.4
332119,185.7,312.7,366.4,404.8,435.4,448.6,210.3,331.2,336.9
3322,93.8,46.0,3.3,42.7,62.8,55.3,106.2,34.3,55.5
33221,93.8,46.0,3.3,42.7,62.8,55.3,106.2,34.3,55.5
332215,97.6,162.4,168.2,132.6,189.6,225.8,129.6,134.3,155.0
332216,3.8,116.4,171.5,175.3,126.8,281.0,235.8,168.6,159.9
3323,1159.1,1912.3,828.8,941.9,1694.5,704.4,1023.7,437.6,1087.8
33231,232.5,408.0,370.1,248.5,548.2,48.6,41.2,173.4,258.8
332311,128.2,81.1,132.3,168.4,9.4,138.2,109.9,395.3,145.3
332312,51.3,153.3,147.8,31.1,349.5,361.7,240.9,52.5,173.5
332313,309.3,335.9,354.6,385.7,208.1,272.2,309.7,274.4,306.2
33232,926.6,1504.3,458.7,693.5,1146.3,655.7,1064.9,611.0,882.6
332321,698.3,794.1,792.5,527.0,867.6,859.2,856.2,1207.1,825.2
332322,883.1,1335.1,623.3,732.0,1427.6,811.2,1213.4,1182.8,1026.1
332323,741.8,963.3,627.8,488.5,586.2,703.8,707.6,635.4,681.8
3324,1451.1,1545.6,1324.6,1613.0,1284.1,1194.1,1248.9,1414.2,1384.4
33241,514.7,524.4,513.7,664.5,669.7,817.9,809.6,901.3,677.0
332410,514.7,524.4,513.7,664.5,669.7,817.9,809.6,901.3,677.0
33242,356.5,422.0,225.4,482.5,94.0,66.3,59.0,71.7,222.2
332420,356.5,422.0,225.4,482.5,94.0,66.3,59.0,71.7,222.2
33243,579.9,599.2,585.5,466.0,520.5,442.5,498.3,584.6,534.6
332431,160.9,155.5,211.9,125.8,116.5,183.1,681.4,705.0,292.5
332439,419.1,443.7,373.6,340.2,404.0,259.5,183.2,120.4,317.9
3325,61.4,24.2,153.0,378.9,441.3,264.3,122.0,152.6,199.7
33251,61.4,24.2,153.0,378.9,441.3,264.3,122.0,152.6,199.7
332510,61.4,24.2,153.0,378.9,441.3,264.3,122.0,152.6,199.7
3326,131.8,133.5,210.5,322.1,272.5,250.6,139.8,168.9,203.7
33261,131.8,133.5,210.5,322.1,272.5,250.6,139.8,168.9,203.7
332613,14.1,22.3,76.5,115.9,71.8,43.0,38.4,50.9,54.1
332618,117.7,111.2,134.0,206.2,200.7,207.6,101.4,118.0,149.6
3327,2891.6,2686.1,3322.6,2674.3,2491.1,1880.5,2590.6,2449.0,2623.2
33271,3011.6,2804.2,3488.2,2838.8,2691.1,2117.6,2717.3,2522.9,2774.0
332710,3011.6,2804.2,3488.2,2838.8,2691.1,2117.6,2717.3,2522.9,2774.0
33272,119.9,118.1,165.6,164.5,200.0,237.0,126.7,74.0,150.7
332721,18.7,4.0,40.3,24.0,29.6,31.5,49.0,5.0,25.3
332722,101.2,114.1,125.3,140.5,229.6,268.6,175.8,78.9,154.3
3328,629.2,293.2,231.5,563.1,396.6,437.3,528.4,295.3,421.8
33281,629.2,293.2,231.5,563.1,396.6,437.3,528.4,295.3,421.8
332811,81.0,74.7,98.3,89.5,100.4,111.5,84.6,217.0,107.1
332812,438.2,143.5,149.0,377.5,205.8,257.5,369.7,8.2,243.7
332813,110.0,75.0,15.8,96.1,90.4,68.2,74.1,70.2,75.0
3329,257.9,132.9,111.0,85.2,312.3,436.6,702.1,335.6,296.7
33291,96.2,171.2,128.0,281.5,256.2,248.9,228.7,113.7,190.5
332911,10.3,6.0,60.5,58.0,3.6,28.4,45.8,104.7,39.7
332912,83.7,8.3,26.5,108.7,42.8,96.9,104.7,118.1,73.7
332913,85.2,47.9,69.8,152.1,295.7,307.4,146.8,132.4,154.7
332919,62.4,125.6,24.1,78.7,6.8,10.0,23.0,32.1,45.3
33299,161.7,38.3,239.0,196.3,56.1,187.7,473.4,221.9,196.8
332991,986.5,797.2,732.4,897.5,977.3,1058.2,1028.7,1001.5,934.9
332992,134.7,88.9,67.3,43.2,86.2,42.1,50.3,51.6,70.5
332994,0.5,115.2,160.3,52.1,55.6,25.9,246.1,292.7,118.5
332996,252.1,289.3,219.4,168.7,172.7,159.4,124.8,179.9,195.8
332999,437.5,342.1,524.3,829.8,606.7,694.8,626.3,840.8,612.8
333,482.1,60.7,678.6,1021.0,302.3,347.3,255.4,118.5,408.2
3331,1219.8,802.4,467.5,777.3,834.4,635.6,622.1,1327.7,835.9
33311,55.1,739.9,980.7,1333.6,1070.5,1766.4,1631.6,1225.7,1100.4
333111,179.4,1154.7,1115.6,1881.0,1673.6,1455.8,1448.0,1186.3,1261.8
333112,124.3,414.8,134.9,547.4,603.1,310.5,183.7,39.3,294.8
33312,1107.5,1465.2,1239.9,1974.4,1777.7,2359.9,2246.1,2538.5,1838.6
333120,1107.5,1465.2,1239.9,1974.4,1777.7,2359.9,2246.1,2538.5,1838.6
33313,167.4,77.0,208.3,136.4,127.2,42.1,7.6,14.9,97.6
333131,167.4,77.0,208.3,136.4,127.2,42.1,7.6,14.9,97.6
3332,766.6,935.5,839.6,1026.7,981.3,1121.8,735.3,817.3,903.0
33324,766.6,935.5,839.6,1026.7,981.3,1121.8,735.3,817.3,903.0
333241,49.1,339.7,260.9,261.5,152.8,192.5,83.7,99.0,179.9
333242,3.2,14.8,12.3,19.8,39.3,38.7,24.2,41.2,24.2
333243,92.8,131.6,59.0,30.5,123.5,45.9,51.4,131.8,83.3
333244,329.7,291.9,294.0,393.7,367.2,270.9,167.3,236.1,293.8
333249,483.8,450.3,356.0,360.9,377.1,651.2,559.9,589.5,478.6
3333,691.9,666.6,463.3,544.3,657.6,589.2,1114.3,1311.9,754.9
33331,691.9,666.6,463.3,544.3,657.6,589.2,1114.3,1311.9,754.9
