,2014,2015,2016,2017,2018,2019,2020,2021
10,1438,1534,1492,1548,1353,1378,1358,1468
11,133.15277672817334,102.66284942441462,106,125,81,73,71,69
111,17.331369207286393,27.524794100026114,18.651325020265045,18.758687312958926,13.252491744086699,11.482988025179825,12.269822390818515,10.78632997581081
1114,17.331369207286393,27.524794100026114,18.651325020265045,18.758687312958926,13.252491744086699,11.482988025179825,12.269822390818515,10.78632997581081
11141,,,,,,,6.1349111954092574,5.393164987905406
111419,,,,,,,6.1349111954092574,5.393164987905406
11142,17.331369207286393,27.524794100026114,18.651325020265045,18.758687312958926,13.252491744086699,11.482988025179825,6.1349111954092574,5.393164987905406
111421,17.331369207286393,27.524794100026114,18.651325020265045,18.758687312958926,13.252491744086699,11.482988025179825,6.1349111954092574,5.393164987905406
112,17.331369207286393,30.54296107047378,39.45080948523774,59.106143896799395,35.011151664839375,28.47673785283385,26,27
1123,17.331369207286393,30.54296107047378,39.45080948523774,59.106143896799395,35.011151664839375,28.47673785283385,26,27
11232,17.331369207286393,15.27148053523689,19.725404742618867,40.210157372655175,22.42013926361565,17.874379731507197,16.947700272827596,17.75657142684367
112320,17.331369207286393,15.27148053523689,19.725404742618867,40.210157372655175,22.42013926361565,17.874379731507197,16.947700272827596,17.75657142684367
11239,,15.27148053523689,19.725404742618867,18.895986524144224,12.591012401223722,10.602358121326656,9.0522997271724,9.243428573156326
112390,,15.27148053523689,19.725404742618867,18.895986524144224,12.591012401223722,10.602358121326656,9.0522997271724,9.243428573156326
113,64.49470715508242,13,10,10,7,11,16.730177609181485,17.23906129544482
1131,17.22302035062742,5.183233798696184,4.1626719580416225,4.126921286250604,3.1594985081776388,4.529051857554324,6.730177609181486,5.988879942274714
11311,17.22302035062742,5.183233798696184,4.1626719580416225,4.126921286250604,3.1594985081776388,4.529051857554324,6.730177609181486,5.988879942274714
113110,17.22302035062742,5.183233798696184,4.1626719580416225,4.126921286250604,3.1594985081776388,4.529051857554324,6.730177609181486,5.988879942274714
1133,47.271686804455,7.816766201303814,5.8373280419583775,5.873078713749397,3.840501491822361,6.470948142445674,10,11.250181353170108
11331,47.271686804455,7.816766201303814,5.8373280419583775,5.873078713749397,3.840501491822361,6.470948142445674,10,11.250181353170108
113310,47.271686804455,7.816766201303814,5.8373280419583775,5.873078713749397,3.840501491822361,6.470948142445674,10,11.250181353170108
115,33.99533115851815,31.595094253914755,37.897865494497225,37.135168790241664,25.736356591073932,22.040274121986318,16,13.974608728744368
1152,16.997665579259074,15.797547126957376,18.948932747248612,18.56758439512083,12.868178295536968,11.02013706099316,9.459816532661542,8.013958314727638
11521,16.997665579259074,15.797547126957376,18.948932747248612,18.56758439512083,12.868178295536968,11.02013706099316,9.459816532661542,8.013958314727638
115210,16.997665579259074,15.797547126957376,18.948932747248612,18.56758439512083,12.868178295536968,11.02013706099316,9.459816532661542,8.013958314727638
1153,16.997665579259074,15.797547126957376,18.948932747248612,18.56758439512083,12.868178295536968,11.02013706099316,6.5401834673384585,5.960650414016731
11531,16.997665579259074,15.797547126957376,18.948932747248612,18.56758439512083,12.868178295536968,11.02013706099316,6.5401834673384585,5.960650414016731
115310,16.997665579259074,15.797547126957376,18.948932747248612,18.56758439512083,12.868178295536968,11.02013706099316,6.5401834673384585,5.960650414016731
21,17.44583105886627,16.16107018362018,0.0,,,,,
212,17.44583105886627,16.16107018362018,0.0,,,,,
2123,17.44583105886627,16.16107018362018,0.0,,,,,
21231,17.44583105886627,16.16107018362018,0.0,,,,,
212313,17.44583105886627,16.16107018362018,0.0,,,,,
22,82.09346080760801,64.7811561666102,50.565355374923215,56.647769501850306,54.85503217201989,68.73912210391067,54.39821434206878,53.82353538588795
221,82.09346080760801,64.7811561666102,50.565355374923215,56.647769501850306,54.85503217201989,68.73912210391067,54.39821434206878,53.82353538588795
2211,82.09346080760801,64.7811561666102,50.565355374923215,56.647769501850306,54.85503217201989,68.73912210391067,54.39821434206878,53.82353538588795
22111,82.09346080760801,64.7811561666102,50.565355374923215,56.647769501850306,41.11762087723154,53.81329174982064,40.81887893445414,40.12465422083875
221112,82.09346080760801,64.7811561666102,50.565355374923215,56.647769501850306,41.11762087723154,53.81329174982064,40.81887893445414,40.12465422083875
22112,,,,,13.73741129478836,14.925830354090042,13.579335407614655,13.698881165049205
221122,,,,,13.73741129478836,14.925830354090042,13.579335407614655,13.698881165049205
23,140,157,146,188,124,130,107,225
236,33.37190763562957,48.96439998477006,41.682730136240885,59.11099778814764,27.72875432036232,30.27330889870945,32.42509365791817,73.31478653285998
2361,19.285955524753227,20.777077355066666,24.909812909720088,29.55549889407383,13.86437716018116,15.136654449354724,9,10
23611,19.285955524753227,20.777077355066666,24.909812909720088,29.55549889407383,13.86437716018116,15.136654449354724,9,10
236115,19.285955524753227,20.777077355066666,15.345840928656191,29.55549889407383,13.86437716018116,15.136654449354724,9,10
236118,,,9.563971981063904,,,,,
2362,14.085952110876342,28.187322629703402,16.772917226520796,29.55549889407383,13.86437716018116,15.136654449354724,23.42509365791817,63.31478653285998
23622,14.085952110876342,28.187322629703402,16.772917226520796,29.55549889407383,13.86437716018116,15.136654449354724,23.42509365791817,63.31478653285998
236220,14.085952110876342,28.187322629703402,16.772917226520796,29.55549889407383,13.86437716018116,15.136654449354724,23.42509365791817,63.31478653285998
237,22.381092448612307,40.03560001522994,32.3172698637591,43.88900221185234,19.012041308053366,15.69008052380287,21.574906342081835,42.68521346713999
2371,22.381092448612307,40.03560001522994,32.3172698637591,43.88900221185234,19.012041308053366,15.69008052380287,21.574906342081835,42.68521346713999
23711,9.061788663986516,12.88932669047033,10.77569158448382,,,,,
237110,9.061788663986516,12.88932669047033,10.77569158448382,,,,,
23713,13.319303784625797,27.146273324759605,21.541578279275285,43.88900221185234,19.012041308053366,15.69008052380287,21.574906342081835,42.68521346713999
237130,13.319303784625797,27.146273324759605,21.541578279275285,43.88900221185234,19.012041308053366,15.69008052380287,21.574906342081835,42.68521346713999
238,84.24699991575808,68,72,85,77.25920437158433,84.03661057748768,53,109
2381,43.246999915758096,7.299601634843333,0.8061943840369692,23.019456918049958,23.898783024756874,26.065548166519097,4.028965988369374,0.7549553060514728
23811,8.64939998315162,1.4599203269686662,0.16123887680739307,10.964851410106322,15.337495241634757,16.833935425513683,2.4808352804276543,0.3723789242648268
238111,8.64939998315162,1.4599203269686662,0.1612388768073927,5.482425705053161,7.668747620817379,8.416967712756843,1.2404176402138276,0.18618946213241297
238112,,,,5.482425705053161,7.668747620817379,8.41696771275684,1.2404176402138276,0.186189462132413
23813,8.64939998315162,1.4599203269686662,0.16123887680739307,,,,,
238131,8.64939998315162,1.4599203269686662,0.1612388768073927,,,,,
23814,8.64939998315162,1.4599203269686662,0.16123887680739307,,,,,
238141,8.64939998315162,1.4599203269686662,0.1612388768073927,,,,,
23816,8.64939998315162,1.4599203269686662,0.16123887680739307,6.027302753971818,8.561287783122111,9.23161274100542,1.54813070794172,0.19128819089332158
238161,8.64939998315162,1.4599203269686662,0.1612388768073927,6.027302753971818,8.561287783122111,9.23161274100542,1.54813070794172,0.19128819089332122
23817,8.64939998315162,1.4599203269686662,0.16123887680739307,6.027302753971818,0.0,,,
238171,8.64939998315162,1.4599203269686662,0.1612388768073927,6.027302753971818,0.0,,,
23819,,,,,,,,0.19128819089332158
238192,,,,,,,,0.19128819089332122
2382,28,38,49,44,39,39,43,42
23821,,,,7.167201177890247,5.975845562568479,7.500000000072873,8.499999999814762,5.500000000204501
238212,,,,7.167201177890247,5.975845562568479,7.500000000072873,8.499999999814762,5.500000000204501
23822,28,38,49,36.83279882210976,33.02415443743152,24,26,31
238221,8,9,11,6.832798822109748,5.024154437431515,10.898304810976052,11.698090710770504,13.848512336257079
238222,20,29,38,30,28,13.101695189023943,14.301909289229494,17.15148766374292
23829,,,,,,7.499999999927125,8.500000000185238,5.4999999997955005
238292,,,,,,7.499999999927125,8.500000000185238,5.4999999997955005
2383,,1.7003983651566672,0.19380561596302662,6.902662643384797,9.360421346827467,9.97106241096858,1.9837949684300233,0.24504469394852396
23834,,1.7003983651566672,0.19380561596302606,0.0,,,,
238341,,1.7003983651566672,,,,,,
238342,,,0.19380561596302578,0.0,,,,
23835,,,,6.902662643384797,9.360421346827467,9.97106241096858,1.9837949684300233,0.24504469394852343
238351,,,,6.902662643384797,9.360421346827467,9.97106241096858,1.9837949684300233,0.24504469394852318
2389,13,21,22,11.077880438565241,5,9,3.987239043200602,66
23891,8.829518955663353,14.312997654393698,14.995646096468922,4,5,9,3.987239043200602,51.81019469096206
238911,3.2678787692125018,5.490559778646197,5.832912592077466,1.6996210958912328,2.1483111293757755,3.8033825951803437,1.2729189153841431,13.850518128086032
238912,5.561640186450854,8.822437875747505,9.162733504391456,2.3003789041087677,2.8516888706242245,5.196617404819655,2.714320127816458,37.959676562876034
23899,4.170481044336643,6.687002345606299,7.004353903531076,7.077880438565242,0.0,,,14.189805309037931
238992,4.170481044336643,6.687002345606299,7.004353903531076,7.077880438565242,0.0,,,14.189805309037931
31_33,572,610,617,608,572,545,555,560
325,,,,,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
3255,,,,,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
32551,,,,,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
325510,,,,,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
326,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,,,,
3261,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,,,,
32619,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,,,,
326199,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,,,,
327,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
3273,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
32732,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
327320,42.95619335298275,73.10187432868659,73.6535845673025,72.76601474265061,69.94620011880923,66.554487594057,64.10769004004587,67.79781191445736
331,92.6612957785423,166.84718850697013,167.0196231490463,161.35097788602405,159.26899940595382,148.2275620297149,171.4615497997706,155.01094042771322
3313,46.33064788927115,83.42359425348508,83.50981157452316,80.67548894301203,79.63449970297691,74.11378101485747,85.73077489988532,77.50547021385663
33131,46.33064788927115,83.42359425348508,83.50981157452316,80.67548894301203,79.63449970297691,74.11378101485747,85.73077489988532,77.50547021385663
331318,46.33064788927115,83.42359425348508,83.50981157452316,80.67548894301203,79.63449970297691,74.11378101485747,85.73077489988532,77.50547021385663
3315,46.33064788927115,83.42359425348508,83.50981157452316,80.67548894301203,79.63449970297691,74.11378101485747,85.73077489988532,77.50547021385663
33151,46.33064788927115,83.42359425348508,83.50981157452316,80.67548894301203,79.63449970297691,74.11378101485747,85.73077489988532,77.50547021385663
331513,46.33064788927115,83.42359425348508,83.50981157452316,80.67548894301203,79.63449970297691,74.11378101485747,85.73077489988532,77.50547021385663
332,257.8088283839672,57,62,67,63,64,63,66
3323,164.0175604683427,27.678604942132267,30.71027527575733,27.784352736339464,25.961233249882493,25.149151953720796,25.852049893893767,21.17410671927939
33231,164.0175604683427,27.678604942132267,30.71027527575733,13.89217636816973,12.980616624941248,12.5745759768604,16.919104360029788,21.17410671927939
332312,82.00878023417137,13.839302471066135,15.355137637878666,,,,8.459552180014894,10.587053359639699
332313,82.00878023417135,13.839302471066135,15.355137637878666,13.89217636816973,12.980616624941248,12.5745759768604,8.459552180014894,10.587053359639699
33232,,,,13.89217636816973,12.980616624941248,12.5745759768604,8.93294553386398,
332322,,,,13.89217636816973,12.980616624941248,12.5745759768604,8.93294553386398,
3327,46.89563395781222,14.660697528933873,15.644862362121337,24.7288503944454,23.58113212215627,12.950282682093063,9.561419746166038,11.424232235616843
33271,46.89563395781222,14.660697528933873,15.644862362121337,24.7288503944454,23.58113212215627,12.950282682093063,9.561419746166038,11.424232235616843
332710,46.89563395781222,14.660697528933873,15.644862362121337,24.7288503944454,23.58113212215627,12.950282682093063,9.561419746166038,11.424232235616843
3328,46.89563395781222,14.660697528933873,15.644862362121337,14.486796869215139,13.457634627961234,12.950282682093063,9.561419746166038,11.424232235616843
33281,46.89563395781222,14.660697528933873,15.644862362121337,14.486796869215139,13.457634627961234,12.950282682093063,9.561419746166038,11.424232235616843
332812,46.89563395781222,14.660697528933873,15.644862362121337,14.486796869215139,13.457634627961234,12.950282682093063,9.561419746166038,11.424232235616843
3329,,,,,,12.950282682093063,18.02511061377415,21.977428809486923
