,2014,2015,2016,2017,2018,2019,2020,2021
10,76198,75893,75382,75810,76148,76582,73989,74820
11,84.94571540290835,90.22417881372408,70.36670319181658,93.85754922976794,57,61,62,121.63337276393031
111,,14.862088407293623,12.683351595989388,17.52423960143744,4.651510494373294,4.933648001718912,4.101446375627633,19.227470337164082
1112,,,,,,,4.101446375627633,19.227470337164082
11121,,,,,,,4.101446375627633,19.227470337164082
111219,,,,,,,4.101446375627633,19.227470337164082
1119,,14.862088407293623,12.683351595989388,17.52423960143744,4.651510494373294,4.933648001718912,0.0,
11194,,14.862088407293623,12.683351595989388,17.52423960143744,4.651510494373294,4.933648001718912,0.0,
111940,,14.862088407293623,12.683351595989388,17.52423960143744,4.651510494373294,4.933648001718912,0.0,
112,16.26819618156338,14.862088407293623,12.683351595827212,33.33330962833052,8.348489505627112,9.066351998258863,7.90746537935344,37.1784320896022
1121,,,,16.66665481416526,4.174244752813572,4.533175999129432,3.953732689676721,18.589216044801095
11211,,,,16.66665481416526,4.174244752813572,4.533175999129432,3.953732689676721,18.589216044801095
112111,,,,16.66665481416526,4.174244752813572,4.533175999129432,3.953732689676721,18.589216044801095
1129,16.26819618156338,14.862088407293623,12.683351595827212,16.66665481416526,4.174244752813541,4.533175999129434,3.9537326896767198,18.589216044801095
11292,16.26819618156338,14.862088407293623,12.683351595827212,16.66665481416526,4.174244752813541,4.533175999129434,3.9537326896767198,18.589216044801095
112920,16.26819618156338,14.862088407293623,12.683351595827212,16.66665481416526,4.174244752813541,4.533175999129434,3.9537326896767198,18.589216044801095
113,40,38,32,32,34,39,40,36
1131,25.442299621177753,25.285246967561662,20.280577472489945,19.56348256377339,24.501864754476426,26.656626180016602,29.930096927840992,22.747833663189695
11311,25.442299621177753,25.285246967561662,20.280577472489945,19.56348256377339,24.501864754476426,26.656626180016602,29.930096927840992,22.747833663189695
113110,25.442299621177753,25.285246967561662,20.280577472489945,19.56348256377339,24.501864754476426,26.656626180016602,29.930096927840992,22.747833663189695
1133,14.55770037882224,12.714753032438338,11.719422527510053,12.43651743622661,9.498135245523569,12.343373819983395,10.069903072159004,13.252166336810305
11331,14.55770037882224,12.714753032438338,11.719422527510053,12.43651743622661,9.498135245523569,12.343373819983395,10.069903072159004,13.252166336810305
113310,14.55770037882224,12.714753032438338,11.719422527510053,12.43651743622661,9.498135245523569,12.343373819983395,10.069903072159004,13.252166336810305
114,,,,,,,,19.227470337164082
1142,,,,,,,,19.227470337164082
11421,,,,,,,,19.227470337164082
114210,,,,,,,,19.227470337164082
115,28.677519221344948,22.500001999136835,13,11,10,8,9.991088245030722,10
1153,28.677519221344948,22.500001999136835,13,11,10,8,9.991088245030722,10
11531,28.677519221344948,22.500001999136835,13,11,10,8,9.991088245030722,10
115310,28.677519221344948,22.500001999136835,13,11,10,8,9.991088245030722,10
21,22.054284597082667,18.775821186256927,43.63329680820698,26.142450770241958,49,54,64,41.782128495064086
212,22.054284597082667,18.775821186256927,43.63329680820698,26.142450770241958,49,54,64,41.782128495064086
2123,22.054284597082667,18.775821186256927,43.63329680820698,26.142450770241958,49,54,64,41.782128495064086
21231,22.054284597082667,18.775821186256927,43.63329680820698,26.142450770241958,49,54,64,41.782128495064086
212313,22.054284597082667,18.775821186256927,43.63329680820698,26.142450770241958,49,54,64,41.782128495064086
22,238,247,248,221,228,226,228,99.57063644922135
221,238,247,248,221,228,226,228,99.57063644922135
2211,177.6143821679314,217.71855859833394,219.91942074470006,192.0292732000638,206.05828202352654,200.94820904561183,207.21857791238472,80.60381933066152
22112,177.6143821679314,217.71855859833394,219.91942074470006,192.0292732000638,206.05828202352654,200.94820904561183,207.21857791238472,80.60381933066152
221122,177.6143821679314,217.71855859833394,219.91942074470006,192.0292732000638,206.05828202352654,200.94820904561183,207.21857791238472,80.60381933066152
2212,30.192808916034306,29.281441401666104,28.08057925529995,28.97072679993628,21.941717976473495,25.051790954388196,20.78142208761527,18.966817118559838
22121,30.192808916034306,29.281441401666104,28.08057925529995,28.97072679993628,21.941717976473495,25.051790954388196,20.78142208761527,18.966817118559838
221210,30.192808916034306,29.281441401666104,28.08057925529995,28.97072679993628,21.941717976473495,25.051790954388196,20.78142208761527,18.966817118559838
2213,30.192808916034306,,,,,,,
22131,30.192808916034306,,,,,,,
221310,30.192808916034306,,,,,,,
23,3084,2908,2962,3054,3204,3236,3125,3103
236,702,505,479,556,539,543,632,560
2361,419,389,376,387,399,418,508,445
23611,419,389,376,387,399,418,508,445
236115,164.15481866049495,174.84521793235388,114.24438477930563,122,137,152,196,121
236116,28.86376608466739,27.454103307325965,23.22263595039424,37.510863172418965,60.17952472351841,64.95671826334173,76.24527189144266,74.09438673556326
236117,68.98141525483757,58.700678760320166,134,127,72.82047527648159,77.04328173665826,93.75472810855733,109.90561326443677
236118,157,128,104.53297927030012,100.48913682758106,129,124,142,140
2362,283,116,103,169,140,125,124,115
23621,54.92179883476004,33.272343328744405,25.888544642351484,29.95390162929491,22,20,15.393387766713655,21
236210,54.92179883476004,33.272343328744405,25.888544642351484,29.95390162929491,22,20,15.393387766713655,21
23622,228.07820116523993,82.7276566712556,77.11145535764851,139.04609837070512,118,105,108.60661223328634,94
236220,228.07820116523993,82.7276566712556,77.11145535764851,139.04609837070512,118,105,108.60661223328634,94
237,536,572,671,719,693,701,733,657
2371,46,56,72,80,66,60,44.618802323548955,45
23711,20.77882477527641,22.80041122620781,26.804340211902336,30.488163954303328,27.66639794867632,20.000000000000004,14.87293410784965,14.999999999999998
237110,20.77882477527641,22.80041122620781,26.804340211902336,30.488163954303328,27.66639794867632,20.000000000000004,14.87293410784965,14.999999999999998
23712,,15.19958877379219,21.19565978809765,24.511836045696672,19.166801025661837,20.000000000000004,14.87293410784965,14.999999999999998
237120,,15.19958877379219,21.19565978809765,24.511836045696672,19.166801025661837,20.000000000000004,14.87293410784965,14.999999999999998
23713,25.221175224723588,18,24,25,19.166801025661837,20.000000000000004,14.87293410784965,14.999999999999998
237130,25.221175224723588,18,24,25,19.166801025661837,20.000000000000004,14.87293410784965,14.999999999999998
2372,0.9999999999830945,1.0796150717094376e-13,1.500000000008568,9.60485829147811,9.221900082017866,7.163864570494396,7.849966191904371,5.855173913719297
23721,0.9999999999830943,1.3277971284831433e-13,1.500000000008568,9.60485829147811,9.221900082017866,7.163864570494396,7.849966191904371,5.855173913719297
237210,0.9999999999830943,1.410633559683845e-13,1.500000000008568,9.60485829147811,9.221900082017866,7.163864570494396,7.849966191904371,5.855173913719297
2373,488,516,596,616,587,621,652,599
23731,488,516,596,616,587,621,652,599
237310,488,516,596,616,587,621,652,599
2379,1.0000000000169054,2.4239957187718658e-14,1.4999999999914315,13.39514170852189,30.778099917982143,12.836135429505603,28.531231484546666,7.144826086280703
23799,1.0000000000169054,7.740123197481375e-14,1.4999999999914315,13.39514170852189,30.778099917982143,12.836135429505603,28.531231484546666,7.144826086280703
237990,1.0000000000169054,9.61303256308628e-14,1.4999999999914315,13.39514170852189,30.778099917982143,12.836135429505603,28.531231484546666,7.144826086280703
238,1846,1831,1812,1779,1972,1992,1760,1886
2381,176,235,191,175,207,223,216,265
23811,19,42,31,30,32,41,39.503055207208824,29
238111,9.793322748716333,23.601160477702937,16.544189402822337,15.00000000000003,16.000000000000327,18.25532827161461,9.725408671742942,11.261154760822194
238112,9.206677251283663,18.398839522297056,14.455810597177663,14.999999999999966,15.99999999999967,22.744671728385384,29.777646535465884,17.738845239177802
23812,15.559559822806616,18.422522550348937,15.968276603264407,12.394395054276483,11.228254217688553,14.74597156655907,9.774362238601428,11.21276448826699
238122,15.559559822806616,18.422522550348937,15.968276603264407,12.394395054276483,11.228254217688553,14.74597156655907,9.774362238601428,11.21276448826699
23813,17.775213822966197,22.528797525005032,17.836782695642526,12.394395054276483,21.03463156926283,25.16935228896062,28.765954929830894,18.574471023466018
238131,17.775213822966197,22.528797525005032,17.836782695642526,12.394395054276483,21.03463156926283,25.16935228896062,28.765954929830894,18.574471023466018
23814,25.76511442252878,29.582690335718734,27.620424701011533,12.394395054276483,11.228254217688553,14.74597156655907,9.774362238601428,11.21276448826699
238141,12.88255721126439,13.818992117602871,13.810212350505767,12.394395054276483,11.228254217688553,14.74597156655907,9.774362238601428,11.21276448826699
238142,12.882557211264384,15.763698218115863,13.810212350505767,,,,,
