,2014,2015,2016,2017,2018,2019,2020,2021
10,926,909,893,898,830,815,813,816
11,50,45.85306468736426,41,36,66,57,52,73
111,32,29,28,25,37,24,22,36
1111,0.0,,,,,,,
11111,0.0,,,,,,,
111110,0.0,,,,,,,
1112,3.910822997444172,3.5906167440775696,2.758465622029777,0.6865364241352184,0.4983481335929627,,,
11121,3.910822997444172,3.5906167440775696,2.758465622029777,0.686536424135217,0.49834813359296265,,,
111211,3.910822997444172,3.5906167440775696,2.758465622029777,0.6865364241352164,0.49834813359296265,,,
1113,,,,,,,,6.211888171652294
11133,,,,,,,,6.211888171652294
111339,,,,,,,,6.211888171652294
1119,28.089177002555825,25.409383255922428,25.24153437797022,24.313463575864766,36.50165186640703,24,22,29.788111828347706
11192,7.089177002555824,5.409383255922425,3.2415343779702153,0.31346357586474105,0.5016518664070292,7.407823888072263,7.704982291718339,8.788111828347708
111920,7.089177002555824,5.409383255922424,3.2415343779702153,0.3134635758647381,0.5016518664070291,7.407823888072263,7.704982291718339,8.788111828347708
11199,21,20,22,24,36,16.592176111927735,14.295017708281666,21
111992,21,20,22,24,36,16.592176111927735,14.295017708281666,21
112,4.660797813227256,4.518223404698859,2.5000000000566605,2.998291112187072,9.256335967441055,8.575851111368689,9.948153692677378,9.966779227765093
1121,4.660797813227256,4.518223404698859,2.5000000000566605,2.9982911121870717,5.7812416674099465,5.393206714498974,6.189650314953898,6.227815639650964
11211,4.660797813227256,4.518223404698859,2.5000000000566605,2.9982911121870717,5.7812416674099465,5.393206714498974,6.189650314953898,6.227815639650964
112111,4.660797813227256,4.518223404698859,2.5000000000566605,2.9982911121870717,2.8906208337049732,2.696603357249488,3.0948251574769494,3.1139078198254824
112112,,,,,2.8906208337049737,2.6966033572494874,3.0948251574769494,3.113907819825482
1129,,,,,3.4750943000311096,3.1826443968697147,3.7585033777234793,3.7389635881141294
11292,,,,,3.4750943000311096,3.1826443968697147,3.7585033777234793,3.7389635881141294
