,2014,2015,2016,2017,2018,2019,2020,2021
10,3112,3286,3353,3342,3311,3453,3388,3615
11,175,189,168,236,226,222,246,240
111,16.62900197010184,11.888576086469692,10.002898593420015,9.686581748725352,15.330005378516727,21.238610798516074,46,50
1113,16.62900197010184,11.888576086469692,6.338830059869239,4.5933347060854315,6.087647683181993,17,27.46111092798721,35
11133,16.62900197010184,11.888576086469692,6.338830059869239,4.5933347060854315,6.087647683181993,17,27.46111092798721,35
111334,8.314500987107287,5.944288050779596,3.1694150299346204,2.296667353042716,3.0438238415909966,10.120147364213603,22,24.504703453021683
111335,8.31450098299455,5.9442880356900965,3.1694150299346187,2.296667353042717,3.043823841590997,6.879852635786399,5.461110927987207,10.495296546978318
1119,,,3.664068533550776,5.093247042639919,9.242357695334734,4.238610798516074,18.538889072012797,15
11194,,,3.664068533550776,2.54662352131996,3.3601207200806504,1.4985072315142438,6.700804302398045,4.839810166775826
111940,,,3.664068533550776,2.54662352131996,3.3601207200806504,1.4985072315142436,6.700804302398045,4.839810166775826
11199,,,,2.54662352131996,5.882236975254086,2.7401035670018308,11.838084769614749,10.160189833224173
111992,,,,2.54662352131996,2.9411184876270426,1.3700517835009154,5.919042384807374,4.056234390676438
111998,,,,,2.9411184876270426,1.3700517835009154,5.919042384807374,6.103955442547737
112,19,34.1114239135303,25,77,67,59,60,55
1121,9.500000000247136,24,16.332586728789984,38.81050330921211,33.167923234696744,13,12,13
11211,,8.396713762880164,5.8963387741165265,13.261340902650316,12.166395087923254,5.3320610527442485,4.92596726407174,5.367568596105998
112111,,8.396713762880164,5.8963387741165265,13.261340902650316,12.166395087923254,5.3320610527442485,4.92596726407174,5.367568596105998
11212,9.500000000247136,15.603286237119828,10.436247954673458,25.54916240656179,21.001528146773488,7.6679389472557515,7.074032735928261,7.632431403894004
112120,9.500000000247136,15.603286237119828,10.436247954673458,25.54916240656179,21.001528146773488,7.6679389472557515,7.074032735928261,7.632431403894004
1123,0.0,,,13.359681905084326,12.498083164034258,15.12791703124605,15.554951432814295,14.00767530553966
11231,,,,13.359681905084326,12.498083164034258,15.12791703124605,15.554951432814295,14.00767530553966
112310,,,,13.359681905084326,12.498083164034258,15.12791703124605,15.554951432814295,14.00767530553966
11234,0.0,,,,,,,
112340,0.0,,,,,,,
1129,9.499999999752866,10.111423913530302,8.667413271210014,24.829814785703558,21.333993601268986,30.872082968753954,32.44504856718571,27.99232469446034
