,2014,2015,2016,2017,2018,2019,2020,2021
10,1150,975,1075,1102,1065,1227,1245,1317
11,163,153,156,157,180,172,142,143
111,72.24672796727302,68,72,68.62971619392829,79.28890614210931,79.06372095375474,76,84
1111,4.664647009480202,2.4917342487139846,3.6652710303069242,0.0,,,,
11119,4.664647009480202,2.4917342487139846,3.6652710303069242,0.0,,,,
111199,4.664647009480202,2.4917342487139846,3.6652710303069242,0.0,,,,
1112,,,,8.62971619392828,8.288906142109331,7.475264205734632,10.637365642429286,11.569908319242892
11121,,,,8.62971619392828,8.288906142109331,7.475264205734632,10.637365642429286,11.569908319242892
111219,,,,8.62971619392828,8.288906142109331,7.475264205734632,10.637365642429286,11.569908319242892
1114,67.58208095779283,65.50826575128602,68.33472896969309,60,71,71.58845674802012,65.36263435757073,72.43009168075709
11142,67.58208095779283,65.50826575128602,68.33472896969309,60,71,71.58845674802012,65.36263435757073,72.43009168075709
111421,63,63,66,35.79394759358061,42.75957486951843,63,40.288744360595906,45.057716245649125
111422,4.582080957792824,2.5082657512860274,2.334728969693077,24.206052406419396,28.240425130481576,8.588456748020139,25.073889996974824,27.372375435107966
112,73,56.96760943880521,47.126371711889405,63,76,72,37.72445300209051,35.8910974182573
1121,26,28.43307496462115,17,20,42,37,10,15.843361419137896
11211,8.420758018394677,14.216537482310574,8.499999999834053,9.999999999971909,21.000000000265317,11.970979335219575,4.105932104476738,6.218263831880424
112111,8.420758018394677,14.216537482310574,8.499999999834053,9.999999999971909,21.000000000265317,11.970979335219575,4.105932104476738,6.218263831880424
11212,17.579241981605325,14.216537482310574,8.500000000165945,10.00000000002809,20.999999999734676,25.029020664780415,5.894067895523262,9.625097587257473
112120,17.579241981605325,14.216537482310574,8.500000000165945,10.00000000002809,20.999999999734676,25.029020664780415,5.894067895523262,9.625097587257473
1122,25.078381386404867,13.87945560477137,14.890201815985161,21.72467702980866,23.00349871319121,16.893330964416563,20,13.506011597800931
11221,25.078381386404867,13.87945560477137,14.890201815985161,21.72467702980866,23.00349871319121,16.893330964416563,20,13.506011597800931
112210,25.078381386404867,13.87945560477137,14.890201815985161,21.72467702980866,23.00349871319121,16.893330964416563,20,13.506011597800931
1123,21.92161861359513,14.655078869412696,15.236169895904247,21.27532297019135,10.996501286808792,18.106669035583433,7.724453002090502,6.541724401318467
11231,,,,10.637661485095675,10.996501286808792,9.05333451779172,7.724453002090502,6.541724401318467
112310,,,,10.637661485095675,10.996501286808792,9.05333451779172,7.724453002090502,6.541724401318467
11232,10.960809306797566,7.327539434706348,7.618084947952124,10.637661485095675,0.0,9.05333451779172,,
112320,10.960809306797566,7.327539434706348,7.618084947952124,10.637661485095675,0.0,9.05333451779172,,
11234,10.960809306797566,7.327539434706348,7.618084947952124,,,,,
112340,10.960809306797566,7.327539434706348,7.618084947952124,,,,,
113,17.753272032726947,28.032390561194777,29.45874116001337,25.370283806071726,24.71109385789069,20.936279046245247,28.27554699790951,23.108902581742697
1131,7.845836097293774,7.361615811716717,7.413557681399661,8.834070317302986,8.663920016190271,7.973912914048114,7.510260723029537,6.515329786595148
11311,7.845836097293774,7.361615811716717,7.413557681399661,8.834070317302986,8.663920016190271,7.973912914048114,7.510260723029537,6.515329786595148
113110,7.845836097293774,7.361615811716717,7.413557681399661,8.834070317302986,8.66392001619027,7.973912914048114,7.510260723029537,6.515329786595148
